parameter,value,well_id,carbon,strain
max df,0.0041602170399389045,27,glucose,delta
lag time stderr,0.10624839208091456,27,glucose,delta
lag time,659.1037146493122,27,glucose,delta
max y stderr,3.6123162609250866e-05,27,glucose,delta
max y std,0.0003612316260925087,27,glucose,delta
max y,0.16834335069721287,27,glucose,delta
inverse max df stderr,0.04398387783153996,27,glucose,delta
lag time std,1.0624839208091457,27,glucose,delta
inverse max df,166.61438704544054,27,glucose,delta
time of max df stderr,1.0133331140350639,27,glucose,delta
time of max df std,10.13333114035064,27,glucose,delta
time of max df,913.5066666666664,27,glucose,delta
max df stderr,1.0984833627211814e-06,27,glucose,delta
max df std,1.0984833627211813e-05,27,glucose,delta
inverse max df std,0.4398387783153996,27,glucose,delta
lag time,668.205700923088,28,glucose,delta
max y stderr,4.9433982932914857e-05,28,glucose,delta
max y std,0.0004943398293291485,28,glucose,delta
max y,0.17083064707061285,28,glucose,delta
inverse max df stderr,0.06277286695926894,28,glucose,delta
time of max df std,5.171953209378446,28,glucose,delta
inverse max df,158.26244398072907,28,glucose,delta
time of max df stderr,0.5171953209378446,28,glucose,delta
time of max df,939.1966666666664,28,glucose,delta
max df stderr,1.7343212133563676e-06,28,glucose,delta
lag time std,1.2409799199718172,28,glucose,delta
inverse max df std,0.6277286695926894,28,glucose,delta
max df std,1.7343212133563675e-05,28,glucose,delta
lag time stderr,0.12409799199718172,28,glucose,delta
max df,0.00437980135862277,28,glucose,delta
lag time stderr,0.4495828839661301,29,glucose,delta
lag time,664.7132860838408,29,glucose,delta
max y stderr,8.360598258743356e-05,29,glucose,delta
max y std,0.0008360598258743356,29,glucose,delta
max y,0.17316689099350968,29,glucose,delta
inverse max df stderr,0.1961982219330914,29,glucose,delta
inverse max df std,1.961982219330914,29,glucose,delta
lag time std,4.495828839661301,29,glucose,delta
time of max df stderr,7.768331802903373,29,glucose,delta
time of max df std,77.68331802903373,29,glucose,delta
time of max df,931.7766666666665,29,glucose,delta
max df stderr,5.591713056857179e-06,29,glucose,delta
max df std,5.591713056857179e-05,29,glucose,delta
max df,0.004344695855304105,29,glucose,delta
inverse max df,159.56393818869768,29,glucose,delta
lag time stderr,0.10640681081365158,30,glucose,delta
lag time std,1.0640681081365158,30,glucose,delta
lag time,660.9540365898059,30,glucose,delta
max y stderr,4.6809631218408724e-05,30,glucose,delta
max y std,0.00046809631218408727,30,glucose,delta
max y,0.1745439849857997,30,glucose,delta
