,parameter,value
0,max df,0.0041512174238604906
1,max df std,5.220267730538995e-05
2,max df stderr,5.2202677305389944e-06
3,time of max df,1179.1566666666668
4,time of max df std,12.687391378845378
5,time of max df stderr,1.2687391378845378
6,inverse max df,167.00084847878395
7,inverse max df std,2.100705685514529
8,inverse max df stderr,0.21007056855145292
9,max y,0.20725953641684383
10,max y std,0.0024029775880118707
11,max y stderr,0.00024029775880118708
12,lag time,967.2775536686869
13,lag time std,4.445361473807457
14,lag time stderr,0.44453614738074576
