,parameter,value
0,max df,0.012735064301299599
1,max df std,0.0001827646001240674
2,max df stderr,1.827646001240674e-05
3,time of max df,249.69666666666663
4,time of max df std,3.9961356333337936
5,time of max df stderr,0.3996135633333794
6,inverse max df,54.43946835672507
7,inverse max df std,0.7823135858085836
8,inverse max df stderr,0.07823135858085836
9,max y,0.20245668433952185
10,max y std,0.0040441110920808624
11,max y stderr,0.00040441110920808623
12,lag time,164.51093497679264
13,lag time std,2.470325862461183
14,lag time stderr,0.2470325862461183
