clock_time,elapsed_time_min,run_number,absorbance,carbon,temperature,operator,date
11h34m,64,1,0.09,glucose,37,O2,20180618
11h34m,64,1,0.09,glucose,37,O2,20180618
11h35m,65,1,0.09,glucose,37,O2,20180618
12h03m,93,1,0.11,glucose,37,O2,20180618
12h03m,93,1,0.1,glucose,37,O2,20180618
12h04m,94,1,0.11,glucose,37,O2,20180618
12h31m,121,1,0.15,glucose,37,O2,20180618
12h32m,122,1,0.16,glucose,37,O2,20180618
12h33m,123,1,0.15,glucose,37,O2,20180618
13h03m,153,1,0.2,glucose,37,O2,20180618
13h03m,153,1,0.2,glucose,37,O2,20180618
13h04m,154,1,0.19,glucose,37,O2,20180618
13h31m,181,1,0.24,glucose,37,O2,20180618
13h31m,181,1,0.26,glucose,37,O2,20180618
13h32m,182,1,0.27,glucose,37,O2,20180618
14h03m,213,1,0.38,glucose,37,O2,20180618
14h03m,213,1,0.3,glucose,37,O2,20180618
14h03m,213,1,0.31,glucose,37,O2,20180618
14h39m,249,1,0.42,glucose,37,O2,20180618
14h40m,250,1,0.49,glucose,37,O2,20180618
14h41m,251,1,0.41,glucose,37,O2,20180618
15h03m,273,1,0.5,glucose,37,O2,20180618
15h04m,274,1,0.48,glucose,37,O2,20180618
15h04m,274,1,0.51,glucose,37,O2,20180618
15h31m,301,1,0.51,glucose,37,O2,20180618
15h32m,302,1,0.65,glucose,37,O2,20180618
15h32m,302,1,0.59,glucose,37,O2,20180618
16h00m,330,1,0.69,glucose,37,O2,20180618
16h01m,331,1,0.68,glucose,37,O2,20180618
16h02m,332,1,0.74,glucose,37,O2,20180618
16h32m,362,1,0.87,glucose,37,O2,20180618
16h33m,363,1,0.97,glucose,37,O2,20180618
16h33m,363,1,0.61,glucose,37,O2,20180618
17h03m,393,1,0.75,glucose,37,O2,20180618
17h04m,394,1,0.69,glucose,37,O2,20180618
17h04m,394,1,0.76,glucose,37,O2,20180618
17h33m,423,1,0.84,glucose,37,O2,20180618
17h33m,423,1,0.95,glucose,37,O2,20180618
17h34m,424,1,1.03,glucose,37,O2,20180618
