,parameter,value
0,max df,0.006779857907723742
1,max df std,0.0001342382504405413
2,max df stderr,1.3423825044054131e-05
3,time of max df,109.41666666666669
4,time of max df std,13.147147979695069
5,time of max df stderr,1.3147147979695069
6,inverse max df,102.27581630699075
7,inverse max df std,2.000130945096504
8,inverse max df stderr,0.2000130945096504
9,max y,0.08709964434262048
10,max y std,0.0009268117180571901
11,max y stderr,9.268117180571901e-05
12,lag time,57.87755947982596
13,lag time std,1.5583523949367937
14,lag time stderr,0.15583523949367936
