parameter,value
max df,0.0043191966660932396
max df std,1.801491374828461e-05
max df stderr,1.8014913748284612e-06
time of max df,946.8966666666668
time of max df std,6.992646137192988
time of max df stderr,0.6992646137192988
inverse max df,160.48336703843933
inverse max df std,0.6685270117807839
inverse max df stderr,0.06685270117807839
max y,0.17030093448486247
max y std,0.0005201121202543185
max y stderr,5.201121202543185e-05
lag time,665.8788548763783
lag time std,1.232018202140341
lag time stderr,0.1232018202140341
doubling time,160.48057871532495
