date,run,temp,carbon,operator,strain,atc_ngml,position,cell_id,area_um,area_pix,mean_intensity
20181002,r1,37,glucose,o2,auto,0,3,3,2.57725,610.0,195.0
20181002,r1,37,glucose,o2,auto,0,3,4,2.125175,503.0,196.0
20181002,r1,37,glucose,o2,auto,0,3,5,3.494075,827.0,198.0
20181002,r1,37,glucose,o2,auto,0,3,6,2.167425,513.0,189.0
20181002,r1,37,glucose,o2,auto,0,3,7,2.218125,525.0,201.0
20181002,r1,37,glucose,o2,auto,0,3,8,3.67575,870.0,193.0
20181002,r1,37,glucose,o2,auto,0,3,9,2.71245,642.0,192.0
20181002,r1,37,glucose,o2,auto,0,3,10,2.88145,682.0,191.0
20181002,r1,37,glucose,o2,auto,0,3,11,4.225,1000.0,198.0
20181002,r1,37,glucose,o2,auto,0,3,12,2.13785,506.0,196.0
20181002,r1,37,glucose,o2,auto,0,3,13,2.8054,664.0,193.0
20181002,r1,37,glucose,o2,auto,0,3,14,3.25325,770.0,199.0
20181002,r1,37,glucose,o2,auto,0,3,15,2.7716,656.0,191.0
20181002,r1,37,glucose,o2,auto,0,3,16,2.99975,710.0,196.0
20181002,r1,37,glucose,o2,auto,0,3,17,3.789825,897.0,193.0
20181002,r1,37,glucose,o2,auto,0,3,18,2.9068,688.0,182.0
20181002,r1,37,glucose,o2,auto,0,3,19,2.116725,501.0,193.0
20181002,r1,37,glucose,o2,auto,0,3,20,2.471625,585.0,191.0
20181002,r1,37,glucose,o2,auto,0,3,21,3.705325,877.0,181.0
20181002,r1,37,glucose,o2,auto,0,3,22,3.198325,757.0,186.0
20181002,r1,37,glucose,o2,auto,0,3,23,3.38,800.0,183.0
20181002,r1,37,glucose,o2,auto,0,3,24,2.260375,535.0,184.0
20181002,r1,37,glucose,o2,auto,0,3,25,2.581475,611.0,184.0
20181002,r1,37,glucose,o2,auto,0,3,26,2.56035,606.0,175.0
20181002,r1,37,glucose,o2,auto,0,4,1,2.71245,642.0,187.0
20181002,r1,37,glucose,o2,auto,0,4,2,2.7209,644.0,202.0
20181002,r1,37,glucose,o2,auto,0,4,3,3.5152,832.0,202.0
20181002,r1,37,glucose,o2,auto,0,4,4,2.3153,548.0,202.0
20181002,r1,37,glucose,o2,auto,0,4,5,5.158725,1221.0,193.0
20181002,r1,37,glucose,o2,auto,0,4,6,3.527875,835.0,199.0
20181002,r1,37,glucose,o2,auto,0,4,7,4.060225,961.0,198.0
20181002,r1,37,glucose,o2,auto,0,4,8,3.67575,870.0,197.0
20181002,r1,37,glucose,o2,auto,0,4,9,2.513875,595.0,190.0
20181002,r1,37,glucose,o2,auto,0,4,10,3.25325,770.0,195.0
20181002,r1,37,glucose,o2,auto,0,4,11,2.03645,482.0,199.0
20181002,r1,37,glucose,o2,auto,0,4,12,2.35755,558.0,197.0
20181002,r1,37,glucose,o2,auto,0,4,13,3.958825,937.0,196.0
20181002,r1,37,glucose,o2,auto,0,4,14,2.615275,619.0,201.0
20181002,r1,37,glucose,o2,auto,0,4,15,3.156075,747.0,197.0
20181002,r1,37,glucose,o2,auto,0,4,16,6.071325,1437.0,191.0
20181002,r1,37,glucose,o2,auto,0,4,17,2.834975,671.0,191.0
20181002,r1,37,glucose,o2,auto,0,4,18,2.894125,685.0,189.0
20181002,r1,37,glucose,o2,auto,0,4,19,3.865875,915.0,185.0
20181002,r1,37,glucose,o2,auto,0,4,20,2.471625,585.0,193.0
20181002,r1,37,glucose,o2,auto,0,4,21,2.05335,486.0,188.0
20181002,r1,37,glucose,o2,auto,0,4,22,2.9068,688.0,195.0
20181002,r1,37,glucose,o2,auto,0,4,23,2.784275,659.0,196.0
20181002,r1,37,glucose,o2,auto,0,4,24,3.0927,732.0,192.0
20181002,r1,37,glucose,o2,auto,0,4,25,3.64195,862.0,192.0
20181002,r1,37,glucose,o2,auto,0,4,26,2.535,600.0,188.0
20181002,r1,37,glucose,o2,auto,0,4,27,2.057575,487.0,190.0
20181002,r1,37,glucose,o2,auto,0,4,28,3.8363,908.0,186.0
20181002,r1,37,glucose,o2,auto,0,4,29,4.2419,1004.0,194.0
20181002,r1,37,glucose,o2,auto,0,4,30,5.12915,1214.0,188.0
20181002,r1,37,glucose,o2,auto,0,4,31,2.066025,489.0,185.0
20181002,r1,37,glucose,o2,auto,0,4,32,2.437825,577.0,183.0
20181002,r1,37,glucose,o2,auto,0,5,1,3.60815,854.0,200.0
20181002,r1,37,glucose,o2,auto,0,5,2,4.026425,953.0,200.0
20181002,r1,37,glucose,o2,auto,0,5,3,4.0729,964.0,195.0
20181002,r1,37,glucose,o2,auto,0,5,4,3.0927,732.0,192.0
20181002,r1,37,glucose,o2,auto,0,5,5,1.947725,461.0,193.0
20181002,r1,37,glucose,o2,auto,0,5,6,2.3322,552.0,199.0
20181002,r1,37,glucose,o2,auto,0,5,7,8.690825,2057.0,199.0
20181002,r1,37,glucose,o2,auto,0,5,8,3.2617,772.0,190.0
20181002,r1,37,glucose,o2,auto,0,5,9,3.815175,903.0,200.0
20181002,r1,37,glucose,o2,auto,0,5,10,3.164525,749.0,197.0
20181002,r1,37,glucose,o2,auto,0,5,11,3.64195,862.0,189.0
20181002,r1,37,glucose,o2,auto,0,5,12,2.91525,690.0,196.0
20181002,r1,37,glucose,o2,auto,0,5,13,2.429375,575.0,190.0
20181002,r1,37,glucose,o2,auto,0,5,14,3.38845,802.0,192.0
20181002,r1,37,glucose,o2,auto,0,5,15,5.395325,1277.0,186.0
20181002,r1,37,glucose,o2,auto,0,5,16,2.6364,624.0,183.0
20181002,r1,37,glucose,o2,auto,0,5,17,2.294175,543.0,190.0
20181002,r1,37,glucose,o2,auto,0,5,18,2.116725,501.0,179.0
20181002,r1,37,glucose,o2,auto,0,5,19,2.34065,554.0,183.0
20181002,r1,37,glucose,o2,auto,0,6,1,3.020875,715.0,200.0
20181002,r1,37,glucose,o2,auto,0,6,2,2.192775,519.0,203.0
20181002,r1,37,glucose,o2,auto,0,6,3,3.16875,750.0,191.0
20181002,r1,37,glucose,o2,auto,0,6,4,2.885675,683.0,198.0
20181002,r1,37,glucose,o2,auto,0,6,5,3.38,800.0,194.0
20181002,r1,37,glucose,o2,auto,0,6,6,3.042,720.0,190.0
20181002,r1,37,glucose,o2,auto,0,6,7,2.877225,681.0,199.0
20181002,r1,37,glucose,o2,auto,0,6,8,2.37445,562.0,200.0
20181002,r1,37,glucose,o2,auto,0,6,9,2.412475,571.0,196.0
20181002,r1,37,glucose,o2,auto,0,6,10,2.81385,666.0,198.0
20181002,r1,37,glucose,o2,auto,0,6,11,2.57725,610.0,197.0
20181002,r1,37,glucose,o2,auto,0,6,12,2.5519,604.0,198.0
20181002,r1,37,glucose,o2,auto,0,6,13,2.911025,689.0,197.0
20181002,r1,37,glucose,o2,auto,0,6,14,2.209675,523.0,196.0
20181002,r1,37,glucose,o2,auto,0,6,15,3.984175,943.0,193.0
20181002,r1,37,glucose,o2,auto,0,6,16,3.223675,763.0,184.0
20181002,r1,37,glucose,o2,auto,0,6,17,3.65885,866.0,191.0
20181002,r1,37,glucose,o2,auto,0,6,18,3.046225,721.0,193.0
20181002,r1,37,glucose,o2,auto,0,6,19,3.096925,733.0,189.0
20181002,r1,37,glucose,o2,auto,0,6,20,2.158975,511.0,190.0
20181002,r1,37,glucose,o2,auto,0,6,21,3.8363,908.0,185.0
20181002,r1,37,glucose,o2,auto,0,6,22,3.147625,745.0,187.0
20181002,r1,37,glucose,o2,auto,0,6,23,4.2419,1004.0,183.0
20181002,r1,37,glucose,o2,auto,0,6,24,2.6026,616.0,184.0
20181002,r1,37,glucose,o2,auto,0,6,25,6.476925,1533.0,192.0
20181002,r1,37,glucose,o2,auto,0,6,26,2.08715,494.0,184.0
20181002,r1,37,glucose,o2,auto,0,6,27,3.958825,937.0,181.0
20181002,r1,37,glucose,o2,auto,0,6,28,3.64195,862.0,182.0
20181002,r1,37,glucose,o2,auto,0,6,29,2.420925,573.0,178.0
20181002,r1,37,glucose,o2,auto,0,6,30,2.826525,669.0,177.0
20181002,r1,37,glucose,o2,auto,0,6,31,5.06155,1198.0,183.0
20181002,r1,37,glucose,o2,auto,0,7,1,4.225,1000.0,204.0
20181002,r1,37,glucose,o2,auto,0,7,2,2.446275,579.0,202.0
20181002,r1,37,glucose,o2,auto,0,7,3,7.676825,1817.0,199.0
20181002,r1,37,glucose,o2,auto,0,7,4,2.125175,503.0,199.0
20181002,r1,37,glucose,o2,auto,0,7,5,2.573025,609.0,202.0
20181002,r1,37,glucose,o2,auto,0,7,6,2.463175,583.0,200.0
20181002,r1,37,glucose,o2,auto,0,7,7,3.08425,730.0,191.0
20181002,r1,37,glucose,o2,auto,0,7,8,2.4505,580.0,195.0
20181002,r1,37,glucose,o2,auto,0,7,9,2.978625,705.0,197.0
20181002,r1,37,glucose,o2,auto,0,7,10,2.412475,571.0,201.0
20181002,r1,37,glucose,o2,auto,0,7,11,3.350425,793.0,196.0
20181002,r1,37,glucose,o2,auto,0,7,12,2.23925,530.0,199.0
20181002,r1,37,glucose,o2,auto,0,7,13,2.197,520.0,187.0
20181002,r1,37,glucose,o2,auto,0,7,14,3.2110000000000003,760.0,191.0
20181002,r1,37,glucose,o2,auto,0,7,15,3.20255,758.0,191.0
20181002,r1,37,glucose,o2,auto,0,7,16,5.12915,1214.0,200.0
20181002,r1,37,glucose,o2,auto,0,7,17,2.7378,648.0,197.0
20181002,r1,37,glucose,o2,auto,0,7,18,2.1125,500.0,194.0
20181002,r1,37,glucose,o2,auto,0,7,19,2.2477,532.0,197.0
20181002,r1,37,glucose,o2,auto,0,7,20,3.64195,862.0,197.0
20181002,r1,37,glucose,o2,auto,0,7,21,2.98285,706.0,193.0
20181002,r1,37,glucose,o2,auto,0,7,22,3.502525,829.0,189.0
20181002,r1,37,glucose,o2,auto,0,7,23,3.156075,747.0,195.0
20181002,r1,37,glucose,o2,auto,0,7,24,4.964375,1175.0,193.0
20181002,r1,37,glucose,o2,auto,0,7,25,3.20255,758.0,194.0
20181002,r1,37,glucose,o2,auto,0,7,26,2.44205,578.0,184.0
20181002,r1,37,glucose,o2,auto,0,7,27,3.25325,770.0,191.0
20181002,r1,37,glucose,o2,auto,0,7,28,3.527875,835.0,190.0
20181002,r1,37,glucose,o2,auto,0,7,29,2.64485,626.0,189.0
20181002,r1,37,glucose,o2,auto,0,7,30,2.873,680.0,182.0
20181002,r1,37,glucose,o2,auto,0,7,31,2.8054,664.0,183.0
20181002,r1,37,glucose,o2,auto,0,7,32,2.209675,523.0,183.0
20181002,r1,37,glucose,o2,auto,0,7,33,3.434925,813.0,190.0
20181002,r1,37,glucose,o2,auto,0,7,34,3.1434,744.0,189.0
20181002,r1,37,glucose,o2,auto,0,7,35,2.8054,664.0,183.0
20181002,r1,37,glucose,o2,auto,0,7,36,2.54345,602.0,188.0
20181002,r1,37,glucose,o2,auto,0,7,37,3.122275,739.0,184.0
20181002,r1,37,glucose,o2,auto,0,7,38,4.085575,967.0,187.0
20181002,r1,37,glucose,o2,auto,0,7,39,3.0082,712.0,185.0
20181002,r1,37,glucose,o2,auto,0,7,40,3.037775,719.0,182.0
20181002,r1,37,glucose,o2,auto,0,7,41,2.944825,697.0,187.0
20181002,r1,37,glucose,o2,auto,0,7,42,2.01955,478.0,184.0
20181002,r1,37,glucose,o2,auto,0,8,1,2.885675,683.0,203.0
20181002,r1,37,glucose,o2,auto,0,8,2,2.47585,586.0,191.0
20181002,r1,37,glucose,o2,auto,0,8,3,3.274375,775.0,189.0
20181002,r1,37,glucose,o2,auto,0,8,4,2.3829,564.0,203.0
20181002,r1,37,glucose,o2,auto,0,8,5,3.32085,786.0,199.0
20181002,r1,37,glucose,o2,auto,0,8,6,2.59415,614.0,195.0
20181002,r1,37,glucose,o2,auto,0,8,7,2.412475,571.0,192.0
20181002,r1,37,glucose,o2,auto,0,8,8,3.4138,808.0,201.0
20181002,r1,37,glucose,o2,auto,0,8,9,3.6335,860.0,193.0
20181002,r1,37,glucose,o2,auto,0,8,10,2.1125,500.0,191.0
20181002,r1,37,glucose,o2,auto,0,8,11,5.150275,1219.0,195.0
20181002,r1,37,glucose,o2,auto,0,8,12,2.513875,595.0,191.0
20181002,r1,37,glucose,o2,auto,0,8,13,2.66175,630.0,199.0
20181002,r1,37,glucose,o2,auto,0,8,14,2.522325,597.0,195.0
20181002,r1,37,glucose,o2,auto,0,8,15,4.432025,1049.0,199.0
20181002,r1,37,glucose,o2,auto,0,8,16,3.502525,829.0,188.0
20181002,r1,37,glucose,o2,auto,0,8,17,3.21945,762.0,196.0
20181002,r1,37,glucose,o2,auto,0,8,18,2.665975,631.0,187.0
20181002,r1,37,glucose,o2,auto,0,8,19,4.4616,1056.0,192.0
20181002,r1,37,glucose,o2,auto,0,8,20,2.953275,699.0,192.0
20181002,r1,37,glucose,o2,auto,0,8,21,2.72935,646.0,187.0
20181002,r1,37,glucose,o2,auto,0,8,22,3.45605,818.0,191.0
20181002,r1,37,glucose,o2,auto,0,8,23,3.198325,757.0,187.0
20181002,r1,37,glucose,o2,auto,0,8,24,2.67865,634.0,185.0
20181002,r1,37,glucose,o2,auto,0,8,25,1.043575,247.0,185.0
20181002,r1,37,glucose,o2,auto,0,9,1,2.463175,583.0,198.0
20181002,r1,37,glucose,o2,auto,0,9,2,2.40825,570.0,204.0
20181002,r1,37,glucose,o2,auto,0,9,3,5.277025,1249.0,202.0
20181002,r1,37,glucose,o2,auto,0,9,4,2.733575,647.0,203.0
20181002,r1,37,glucose,o2,auto,0,9,5,3.189875,755.0,202.0
20181002,r1,37,glucose,o2,auto,0,9,6,2.834975,671.0,193.0
20181002,r1,37,glucose,o2,auto,0,9,7,2.716675,643.0,202.0
20181002,r1,37,glucose,o2,auto,0,9,8,2.86455,678.0,199.0
20181002,r1,37,glucose,o2,auto,0,9,9,5.065775,1199.0,202.0
20181002,r1,37,glucose,o2,auto,0,9,10,3.6673,868.0,201.0
20181002,r1,37,glucose,o2,auto,0,9,11,2.42515,574.0,197.0
20181002,r1,37,glucose,o2,auto,0,9,12,3.096925,733.0,201.0
20181002,r1,37,glucose,o2,auto,0,9,13,2.370225,561.0,197.0
20181002,r1,37,glucose,o2,auto,0,9,14,3.2786,776.0,197.0
20181002,r1,37,glucose,o2,auto,0,9,15,2.691325,637.0,197.0
20181002,r1,37,glucose,o2,auto,0,9,16,2.370225,561.0,194.0
20181002,r1,37,glucose,o2,auto,0,9,17,2.1463,508.0,195.0
20181002,r1,37,glucose,o2,auto,0,9,18,3.071575,727.0,199.0
20181002,r1,37,glucose,o2,auto,0,9,19,2.268825,537.0,197.0
20181002,r1,37,glucose,o2,auto,0,9,20,2.792725,661.0,197.0
20181002,r1,37,glucose,o2,auto,0,9,21,2.2646,536.0,191.0
20181002,r1,37,glucose,o2,auto,0,9,22,2.79695,662.0,190.0
20181002,r1,37,glucose,o2,auto,0,9,23,3.485625,825.0,198.0
20181002,r1,37,glucose,o2,auto,0,9,24,2.277275,539.0,193.0
20181002,r1,37,glucose,o2,auto,0,9,25,2.801175,663.0,185.0
20181002,r1,37,glucose,o2,auto,0,10,1,2.632175,623.0,206.0
20181002,r1,37,glucose,o2,auto,0,10,2,4.119375,975.0,197.0
20181002,r1,37,glucose,o2,auto,0,10,3,3.789825,897.0,202.0
20181002,r1,37,glucose,o2,auto,0,10,4,3.3462,792.0,194.0
20181002,r1,37,glucose,o2,auto,0,10,5,2.23925,530.0,190.0
20181002,r1,37,glucose,o2,auto,0,10,6,2.1125,500.0,194.0
20181002,r1,37,glucose,o2,auto,0,10,7,2.843425,673.0,199.0
20181002,r1,37,glucose,o2,auto,0,10,8,3.10115,734.0,199.0
20181002,r1,37,glucose,o2,auto,0,10,9,3.646175,863.0,194.0
20181002,r1,37,glucose,o2,auto,0,10,10,2.71245,642.0,189.0
20181002,r1,37,glucose,o2,auto,0,10,11,2.6364,624.0,195.0
20181002,r1,37,glucose,o2,auto,0,10,12,2.268825,537.0,191.0
20181002,r1,37,glucose,o2,auto,0,10,13,3.4983,828.0,198.0
20181002,r1,37,glucose,o2,auto,0,10,14,2.158975,511.0,193.0
20181002,r1,37,glucose,o2,auto,0,10,15,3.3124,784.0,199.0
20181002,r1,37,glucose,o2,auto,0,10,16,2.539225,601.0,198.0
20181002,r1,37,glucose,o2,auto,0,10,17,3.925025,929.0,188.0
20181002,r1,37,glucose,o2,auto,0,10,18,2.13785,506.0,189.0
20181002,r1,37,glucose,o2,auto,0,10,19,3.87855,918.0,190.0
20181002,r1,37,glucose,o2,auto,0,10,20,2.23925,530.0,187.0
20181002,r1,37,glucose,o2,auto,0,10,21,2.598375,615.0,193.0
20181002,r1,37,glucose,o2,auto,0,10,22,4.186975,991.0,189.0
20181002,r1,37,glucose,o2,auto,0,10,23,4.541875,1075.0,186.0
20181002,r1,37,glucose,o2,auto,0,10,24,2.902575,687.0,191.0
20181002,r1,37,glucose,o2,auto,0,10,25,2.7547,652.0,188.0
20181002,r1,37,glucose,o2,auto,0,10,26,2.175875,515.0,183.0
20181002,r1,37,glucose,o2,delta,0,1,1,3.7856,896.0,190.0
20181002,r1,37,glucose,o2,delta,0,1,2,2.2815,540.0,190.0
20181002,r1,37,glucose,o2,delta,0,1,3,3.5659,844.0,200.0
20181002,r1,37,glucose,o2,delta,0,1,4,4.237675,1003.0,199.0
20181002,r1,37,glucose,o2,delta,0,1,5,2.049125,485.0,209.0
20181002,r1,37,glucose,o2,delta,0,1,6,1.9266,456.0,195.0
20181002,r1,37,glucose,o2,delta,0,1,7,2.167425,513.0,200.0
20181002,r1,37,glucose,o2,delta,0,1,8,2.116725,501.0,193.0
20181002,r1,37,glucose,o2,delta,0,1,9,2.79695,662.0,197.0
20181002,r1,37,glucose,o2,delta,0,1,10,3.43915,814.0,201.0
20181002,r1,37,glucose,o2,delta,0,1,11,1.95195,462.0,236.0
20181002,r1,37,glucose,o2,delta,0,1,12,2.96595,702.0,201.0
20181002,r1,37,glucose,o2,delta,0,1,13,3.595475,851.0,189.0
20181002,r1,37,glucose,o2,delta,0,1,14,3.25325,770.0,199.0
20181002,r1,37,glucose,o2,delta,0,1,15,2.513875,595.0,192.0
20181002,r1,37,glucose,o2,delta,0,1,16,2.277275,539.0,219.0
20181002,r1,37,glucose,o2,delta,0,1,17,2.69555,638.0,188.0
20181002,r1,37,glucose,o2,delta,0,1,18,5.4249,1284.0,197.0
20181002,r1,37,glucose,o2,delta,0,1,19,3.05045,722.0,198.0
20181002,r1,37,glucose,o2,delta,0,1,20,3.1434,744.0,196.0
20181002,r1,37,glucose,o2,delta,0,1,21,5.133375,1215.0,191.0
20181002,r1,37,glucose,o2,delta,0,1,22,2.07025,490.0,196.0
20181002,r1,37,glucose,o2,delta,0,1,23,1.1661,276.0,188.0
20181002,r1,37,glucose,o2,delta,0,1,24,2.03645,482.0,190.0
20181002,r1,37,glucose,o2,delta,0,2,1,3.2786,776.0,197.0
20181002,r1,37,glucose,o2,delta,0,2,2,2.463175,583.0,192.0
20181002,r1,37,glucose,o2,delta,0,2,3,2.496975,591.0,193.0
20181002,r1,37,glucose,o2,delta,0,2,4,2.911025,689.0,202.0
20181002,r1,37,glucose,o2,delta,0,2,5,4.389775,1039.0,207.0
20181002,r1,37,glucose,o2,delta,0,2,6,2.5012,592.0,203.0
