clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
09h14m,19,0.03,3,glucose,37,O2,20180913
09h14m,19,0.02,3,glucose,37,O2,20180913
09h14m,19,0.03,3,glucose,37,O2,20180913
09h45m,50,0.06,3,glucose,37,O2,20180913
09h45m,50,0.07,3,glucose,37,O2,20180913
09h45m,50,0.08,3,glucose,37,O2,20180913
10h14m,79,0.1,3,glucose,37,O2,20180913
10h15m,80,0.1,3,glucose,37,O2,20180913
10h15m,80,0.1,3,glucose,37,O2,20180913
10h45m,110,0.13,3,glucose,37,O2,20180913
10h45m,110,0.14,3,glucose,37,O2,20180913
10h45m,110,0.14,3,glucose,37,O2,20180913
11h16m,141,0.2,3,glucose,37,O2,20180913
11h16m,141,0.22,3,glucose,37,O2,20180913
11h16m,141,0.22,3,glucose,37,O2,20180913
11h32m,157,0.25,3,glucose,37,O2,20180913
11h32m,157,0.25,3,glucose,37,O2,20180913
11h32m,157,0.26,3,glucose,37,O2,20180913
11h46m,171,0.27,3,glucose,37,O2,20180913
11h46m,171,0.28,3,glucose,37,O2,20180913
11h46m,171,0.28,3,glucose,37,O2,20180913
12h01m,186,0.28,3,glucose,37,O2,20180913
12h01m,186,0.29,3,glucose,37,O2,20180913
12h01m,186,0.29,3,glucose,37,O2,20180913
12h16m,201,0.32,3,glucose,37,O2,20180913
12h16m,201,0.32,3,glucose,37,O2,20180913
12h16m,201,0.33,3,glucose,37,O2,20180913
12h31m,216,0.38,3,glucose,37,O2,20180913
12h31m,216,0.38,3,glucose,37,O2,20180913
12h31m,216,0.39,3,glucose,37,O2,20180913
12h46m,231,0.39,3,glucose,37,O2,20180913
12h46m,231,0.39,3,glucose,37,O2,20180913
12h46m,231,0.38,3,glucose,37,O2,20180913
13h01m,246,0.44,3,glucose,37,O2,20180913
13h01m,246,0.44,3,glucose,37,O2,20180913
13h01m,246,0.43,3,glucose,37,O2,20180913
13h16m,261,0.5,3,glucose,37,O2,20180913
13h16m,261,0.51,3,glucose,37,O2,20180913
13h16m,261,0.5,3,glucose,37,O2,20180913
13h32m,277,0.56,3,glucose,37,O2,20180913
13h32m,277,0.57,3,glucose,37,O2,20180913
13h32m,277,0.58,3,glucose,37,O2,20180913
13h46m,291,0.61,3,glucose,37,O2,20180913
13h46m,291,0.6,3,glucose,37,O2,20180913
13h47m,292,0.62,3,glucose,37,O2,20180913
