,area_death,fluor1_mean_death,fluor2_mean_death,long_axis_death,short_axis_death,fluor1_bg_death,fluor2_bg_death,error_frame,strain,atc_conc_ngml,position,aspect_ratio
0,772.0,125.15803108808291,11.573834196891191,57.0,13.535420485485695,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.23746351728922271
1,728.0,121.41620879120879,11.649725274725276,53.0,13.72534528946842,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.25896877904657395
2,657.0,118.60882800608827,11.585996955859969,49.0,13.398883511555326,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.2734466022766393
3,569.0,120.195079086116,11.214411247803163,42.0,13.546064820330846,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.32252535286502015
5,662.0,120.42296072507553,10.989425981873111,48.0,13.787136211895623,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.28723200441449215
6,853.0,118.39507620164126,11.260257913247361,64.0,13.328002719893398,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.20825004249833434
7,873.0,131.5028636884307,11.407789232531501,68.0,12.838203712622803,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.1887971134209236
8,498.0,119.72489959839358,11.144578313253012,37.0,13.457470390599733,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.36371541596215495
9,539.0,120.12059369202227,10.653061224489797,38.0,14.184255654893626,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.3732698856550954
10,688.0,119.57703488372093,10.595930232558139,50.0,13.740783756268575,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.27481567512537153
11,505.0,122.93267326732673,10.736633663366337,37.0,13.623112264462558,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.36819222336385293
12,761.0,124.68593955321944,11.132720105124836,54.0,14.082203244579466,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.2607815415662864
13,681.0,120.58590308370044,11.704845814977974,48.0,14.178391866730683,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.29538316389022257
14,804.0,119.90671641791045,10.618159203980099,59.0,13.618852258792138,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.23082800438630743
15,794.0,120.86775818639798,11.141057934508817,58.0,13.689588864819186,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.23602739422102045
16,564.0,121.18085106382979,11.198581560283689,42.0,13.398970686251719,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.31902311157742186
17,759.0,121.90118577075098,10.869565217391305,60.0,12.632439667426842,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.2105406611237807
18,763.0,120.67627785058978,10.471821756225426,58.0,13.142743370992925,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.22659902363780904
19,492.0,126.64837398373983,11.044715447154472,37.0,13.265680138134499,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.3585318956252567
20,414.0,126.91787439613526,11.099033816425122,31.0,13.309452454714759,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.4293371759585406
21,797.0,121.43538268506902,10.8168130489335,62.0,12.854572993697731,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.20733182247899568
22,516.0,132.09108527131784,10.69186046511628,39.0,13.228042706375541,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.3391805822147575
23,842.0,120.34441805225653,11.34560570071259,64.0,13.15644003321291,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.2055693755189517
24,621.0,121.9645732689211,10.40901771336554,44.0,14.116590937439145,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.32083161221452605
25,824.0,132.2390776699029,10.470873786407767,60.0,13.728489309015822,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.2288081551502637
26,714.0,122.98039215686275,10.658263305322128,50.0,14.262664263064316,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.28525328526128635
27,754.0,122.45092838196287,10.909814323607428,53.0,14.21719115738551,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.26824888976199074
30,515.0,122.27378640776699,11.066019417475728,40.0,12.863797888002802,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.32159494720007004
31,553.0,121.46835443037975,10.591320072332731,42.0,13.166906516284133,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.31349777419724123
32,533.0,122.92307692307692,10.666041275797374,38.0,13.990552048473026,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.3681724223282375
33,654.0,122.14525993883792,11.281345565749236,48.0,13.614062083245772,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.2836262934009536
34,297.0,125.95286195286195,11.114478114478114,26.0,11.345954027873262,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.4363828472258947
36,545.0,122.95229357798165,11.053211009174312,41.0,13.281342864213219,128.3799087673142,9.767645651923571,,autofluorescence,0.0,4,0.3239351918100785
