,I_1,I_2,summed,fluct
0,43661.35814913643,40994.15898928124,84655.51713841766,7113951.3583322335
1,43248.44424037032,39435.831650922875,82684.27589129319,14536014.75721316
2,30255.022776663278,20518.848677500126,50773.8714541634,94793086.08921541
3,8654.314145171806,9404.848677500133,18059.16282267194,563302.0842173009
4,8801.080932162125,11536.977814350983,20338.05874651311,7485131.749970711
5,17193.511388331637,20855.06294723721,38048.57433556885,13406959.818523826
6,24471.028894082716,31355.33117174905,55826.36006583177,47393617.85028189
7,21714.608388723336,16088.012825853148,37802.62121457649,31658577.628110494
8,31965.19495913108,16894.945677891836,48860.140637022916,227112413.39869198
9,22701.90167392721,21711.51330502699,44413.4149789542,980869.1212528339
10,2193.1599476289107,2358.0038333906914,4551.1637810196025,27173.506673043008
11,18886.161864324262,6837.261148744717,25723.42301306898,145176008.45389324
12,28090.95371200663,18196.33920586384,46287.292917870465,97903396.22517137
13,31216.08284885747,16936.33920586383,48152.422054721304,203911078.50961724
14,10411.528414908886,14620.882730654617,25032.411145563503,17718663.755487215
15,15029.107909549513,20828.954670354295,35858.06257990381,33638222.448817715
16,51069.59843791322,85595.76354461392,136665.36198252713,1192056076.9751568
17,19330.56342641105,35062.40215310105,54392.9655795121,247490749.72258332
18,6423.088966276918,6255.07289804734,12678.161864324258,28229.399183326277
19,12207.7526354561,12925.149038471112,25132.901673927212,514657.5990588786
20,18659.79663942072,18374.09795873938,37033.8945981601,81623.73614305838
21,11703.020859967934,13412.332130096722,25115.352990064654,2921745.0181892915
22,39077.700597376686,93115.02373501095,132192.72433238765,2920032291.8811035
23,7026.848677500126,6104.779612843471,13131.628290343597,850211.3599967977
24,7629.985848465766,7815.977814350979,15445.963662816746,34593.011373846304
25,23112.34723997862,23683.770620381012,46796.117860359635,326524.67967049836
26,4528.0388448928525,3382.986806813435,7911.025651706288,1311144.1699098274
27,61360.78764695827,58642.26210709239,120003.04975405066,7390381.11090306
28,2792.07997381446,4033.98776516112,6826.06773897558,1542334.962207539
29,26721.554433948586,27013.735608878855,53735.290042827444,85369.8389836323
30,34901.485369291935,48769.79855611606,83671.283925408,192330110.64783993
31,2546.2621070923883,2087.8746965398404,4634.136803632229,210119.01815307006
32,1583.6083887233472,1722.7034724197028,3306.31186114305,19347.442308496193
33,8053.218103127772,2432.080932162134,10485.299035289907,31597183.094811574
34,59199.96078777374,53432.66846091754,112632.62924869129,33261660.783414412
35,736.365224903542,746.1589892812456,1482.5242141847875,95.91782068597618
36,42050.667502569864,38508.72757476407,80559.39507733393,12545338.452184936
37,2262.0889662769214,4700.272057902518,6962.3610241794395,5944736.788288953
38,4402.358149136425,5556.64244187783,9959.000591014254,1332372.2284695252
39,1499.1079095495056,1247.2290122855761,2746.3369218350817,63442.97888689315
40,1255.3571907887529,1006.8056318831804,2262.162822671933,61777.87743439028
41,2048.6845291471154,1012.046879007637,3060.7314081547524,1074617.6176866996
42,22848.01990162026,22630.80563188318,45478.82553350344,47182.03897741296
43,109910.6434002255,109670.84256008071,219581.4859603062,57504.44293414607
44,61885.84867750013,84101.26306544007,145987.1117429402,493524636.427889
45,57989.727574764074,66365.30611105701,124355.03368582108,70150315.81761096
46,30897.270141207176,23472.3141451718,54369.58428637897,55129971.54306169
47,33986.538365719025,44826.719540649276,78813.2579063683,117509527.90531218
48,6486.451316137444,4844.545441486134,11330.99675762358,2695854.9012144837
49,44495.59040379842,40721.64148353016,85217.23188732858,14242690.452793963
