,area_birth,area_death,cell_id,cell_birth_time,cell_death_time,daughter1_id,daughter2_id,fluor1_mean_death,mother_id,long_axis_death,short_axis_death,fluor1_bg_death,fluor2_bg_death,error_frame,position,aspect_ratio
0,492.0,715.0,1.0,1.0,9.0,33.0,34.0,0.0,0.0,53.0,13.489287870269377,0.0,,,29.0,0.2545148654767807
1,450.0,622.0,2.0,1.0,9.0,35.0,36.0,0.0,0.0,54.0,11.51825517599613,0.0,,,29.0,0.2133010217777061
2,427.0,752.0,3.0,1.0,13.0,49.0,50.0,0.0,0.0,59.0,12.739547770446134,0.0,,,29.0,0.21592453848213786
3,423.0,488.0,4.0,1.0,18.0,87.0,88.0,0.0,0.0,49.0,9.949709393035935,0.0,,17.0,29.0,0.20305529373542724
4,432.0,768.0,5.0,1.0,12.0,45.0,46.0,0.0,0.0,61.0,12.590901218098429,0.0,,,29.0,0.20640821669013817
5,348.0,598.0,6.0,1.0,14.0,,,0.0,0.0,58.0,10.30892637975451,0.0,,,29.0,0.17774010999576742
6,385.0,1212.0,7.0,1.0,15.0,66.0,67.0,0.0,0.0,62.0,19.548530360398203,0.0,,15.0,29.0,0.3152988767806162
7,761.0,761.0,8.0,1.0,1.0,20.0,21.0,0.0,0.0,62.0,12.27344560614597,0.0,,,29.0,0.19795880009912853
8,564.0,1029.0,9.0,1.0,15.0,,,0.0,0.0,68.0,15.123702716698801,0.0,,,29.0,0.22240739289262942
9,746.0,947.0,10.0,1.0,6.0,26.0,27.0,0.0,0.0,66.0,14.340635490207688,0.0,,,29.0,0.2172823559122377
10,599.0,899.0,11.0,1.0,8.0,30.0,31.0,0.0,0.0,64.0,14.037363000105401,0.0,,,29.0,0.2193337968766469
11,383.0,704.0,12.0,1.0,11.0,41.0,42.0,0.0,0.0,49.0,14.33611449283249,0.0,,,29.0,0.29257376515984673
12,429.0,494.0,13.0,1.0,13.0,53.0,54.0,0.0,0.0,49.0,10.09431739263125,0.0,,2.0,29.0,0.20600647740063777
13,789.0,894.0,14.0,1.0,3.0,24.0,25.0,0.0,0.0,72.0,12.413896836467213,0.0,,,29.0,0.1724152338398224
14,544.0,1370.0,15.0,1.0,13.0,55.0,56.0,0.0,0.0,71.0,19.288789992217932,0.0,,11.0,29.0,0.2716730984819427
15,84.0,84.0,16.0,1.0,1.0,,,0.0,0.0,14.0,5.965189182251714,0.0,,,29.0,0.42608494158940813
16,334.0,616.0,17.0,1.0,7.0,28.0,29.0,0.0,0.0,47.0,13.095993998110181,0.0,,4.0,29.0,0.27863817017255704
17,390.0,626.0,18.0,1.0,19.0,,,268.314696485623,0.0,48.0,13.009891781309113,124.07110128962493,,,29.0,0.2710394121106065
18,370.0,506.0,19.0,1.0,13.0,58.0,59.0,0.0,0.0,41.0,12.339926012705233,0.0,,11.0,29.0,0.3009738051879325
19,372.0,250.0,20.0,2.0,14.0,,,0.0,8.0,27.0,9.190971411578916,0.0,,14.0,29.0,0.34040634857699686
20,429.0,1126.0,21.0,2.0,14.0,61.0,62.0,0.0,8.0,68.0,16.55043126974957,0.0,,,29.0,0.24338869514337602
21,55.0,48.0,22.0,2.0,4.0,,,0.0,0.0,9.0,5.148685045358636,0.0,,,29.0,0.5720761161509595
22,118.0,118.0,23.0,3.0,3.0,,,0.0,0.0,18.0,6.522815209474098,0.0,,,29.0,0.36237862274856103
23,425.0,302.0,24.0,4.0,10.0,,,0.0,14.0,25.0,12.074934446297553,0.0,,9.0,29.0,0.4829973778519021
24,519.0,945.0,25.0,4.0,10.0,38.0,39.0,0.0,14.0,53.0,17.83898892623649,0.0,,,29.0,0.3365846967214432
25,414.0,470.0,26.0,7.0,13.0,51.0,52.0,0.0,10.0,40.0,11.745405610486293,0.0,,,29.0,0.2936351402621573
26,557.0,1006.0,27.0,7.0,15.0,69.0,70.0,0.0,10.0,54.0,18.62620508466734,0.0,,15.0,29.0,0.3449297237901359
27,332.0,503.0,28.0,8.0,11.0,43.0,44.0,0.0,17.0,38.0,13.21561645656422,0.0,,10.0,29.0,0.3477793804359005
