strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,619.0,943.8788368336026,201.14701130856218,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9368394397834656
delta,594.0,887.5,196.9006734006734,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8684915187427193
delta,539.0,690.252319109462,198.69016697588125,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6293686549850609
delta,574.0,964.0975609756098,196.08188153310104,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9613505478306416
delta,444.0,893.1238738738739,195.4009009009009,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8753093267902518
delta,540.0,1153.2907407407408,192.7962962962963,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.1907089602824545
delta,515.0,875.1398058252428,194.74174757281554,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8535072866629065
delta,386.0,1049.937823834197,195.18393782383419,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0654144809921502
delta,391.0,653.0562659846547,187.39641943734014,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.5842759740291726
delta,515.0,984.3631067961165,192.24271844660194,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9859184176800259
delta,534.0,1460.943820224719,191.8988764044944,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.5636760090098718
delta,499.0,886.0741482965932,196.01603206412827,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8667629623355007
delta,603.0,806.7611940298508,178.46268656716418,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7706120688409986
delta,390.0,782.4076923076923,191.94871794871796,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.7410883804100998
delta,526.0,840.5608365019011,185.7148288973384,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8115872897683711
delta,417.0,909.115107913669,187.04076738609112,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8946954592981254
delta,384.0,893.5104166666666,187.58072916666666,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8757779316385327
delta,523.0,970.8279158699809,179.8413001912046,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.9695097400157223
delta,635.0,1036.5165354330709,184.46299212598424,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,1.0491438870703098
delta,461.0,719.1670281995662,177.353579175705,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6644218835509386
delta,421.0,892.2304038004751,182.17102137767222,0.0,20181021,glucose,37,O2,1,156.4423754051136,187.95415191975863,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8742261752841437
delta,823.0,197.7667071688943,172.50425273390036,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.03268520417106431
delta,501.0,704.1596806387225,176.55888223552896,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.6465841228106192
delta,600.0,874.48,193.285,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8530630144148718
delta,523.0,1258.3269598470363,184.79349904397705,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,1.3183997112464603
delta,471.0,887.4416135881104,186.19108280254778,0.0,20181021,glucose,37,O2,1,156.1490408960462,186.09956993409807,2069.6958597101147,1574.7979194073594,2667.856879392745,0.8687763457256167
