# Date : 20170814
# Equipment : MACSQuant (Björkman Lab)
# User : gchure
# growth medium: M9 + 0.5% glucose
# growth temperature: 37 C
# Description :
# A first pass at developing the experimental protocol for a dilution-titration
# experiment.
# All cells (save for the autofluorescence control) contained a YFP molecule
# regulated by an O2+11 simple repression architecture. These cells were grown
# in M9 + 0.5% glucose minimal medium at 37°C for 8 hours prior to dilution
# and measurement. Cells were incubated with the following concentrations
# 0 ng/mL, 2 ng/mL, 4 ng/mL, 6 ng/mL, 8 ng/mL, 10 ng/mL of ATC as well as
# 0, 0.1, 5, 10, 25, 50, 75, 100, 250, 500, 1000, 5000 mM IPTG.
# Comments : Snapshots of the cells with 0 IPTG concentration revealed the
# expected behavior. The growth movie itself didn't work as expected, meaning
# that I am unable to get to protein copy number from this experiment alone.
# The flow rate was also surprisingly slow, making question the validity of
# the set entirely.
,atc_ngml,carbon,date,iptg_um,mean_YFP_H,operator,run_no,strain,temp,username,foldchange
0,0.0,glucose,20170814,0.0,7086.238165200036,O2,r1,auto,37,gchure,0.0
1,0.0,glucose,20170814,0.0,23749.8843678214,O2,r1,delta,37,gchure,1.0
2,0.0,glucose,20170814,0.0,8152.064499009618,O2,r1,dilution,37,gchure,0.06396117157371696
3,10.0,glucose,20170814,0.0,6903.598948510609,O2,r1,dilution,37,gchure,-0.01096033932001602
4,2.0,glucose,20170814,0.0,16073.283854967434,O2,r1,dilution,37,gchure,0.5393204812733988
5,4.0,glucose,20170814,0.0,7659.133317885307,O2,r1,dilution,37,gchure,0.034379939763432406
6,6.0,glucose,20170814,0.0,7362.407224013624,O2,r1,dilution,37,gchure,0.016573147044501205
7,8.0,glucose,20170814,0.0,8716.579931332095,O2,r1,dilution,37,gchure,0.09783823698054689
8,0.0,glucose,20170814,0.1,6533.595785232074,O2,r1,auto,37,gchure,0.0
9,0.0,glucose,20170814,0.1,21584.856890372084,O2,r1,delta,37,gchure,1.0
10,0.0,glucose,20170814,0.1,9377.361585111172,O2,r1,dilution,37,gchure,0.18893870619970513
11,10.0,glucose,20170814,0.1,6547.4181735518505,O2,r1,dilution,37,gchure,0.0009183541646922703
12,2.0,glucose,20170814,0.1,15119.38321822471,O2,r1,dilution,37,gchure,0.5704364154615978
13,4.0,glucose,20170814,0.1,7457.219811799356,O2,r1,dilution,37,gchure,0.06136522515391508
14,6.0,glucose,20170814,0.1,7151.234763346938,O2,r1,dilution,37,gchure,0.041035696198502586
15,8.0,glucose,20170814,0.1,6799.517987584864,O2,r1,dilution,37,gchure,0.017667768866356157
16,0.0,glucose,20170814,5.0,7190.960597789879,O2,r1,auto,37,gchure,0.0
17,0.0,glucose,20170814,5.0,20217.98442710593,O2,r1,delta,37,gchure,1.0
18,0.0,glucose,20170814,5.0,10430.17672971174,O2,r1,dilution,37,gchure,0.24865358153658398
19,10.0,glucose,20170814,5.0,6621.870260412148,O2,r1,dilution,37,gchure,-0.04368536857183361
20,2.0,glucose,20170814,5.0,15785.243075133943,O2,r1,dilution,37,gchure,0.6597272400779268
21,4.0,glucose,20170814,5.0,8217.67169528269,O2,r1,dilution,37,gchure,0.07881394176790384
22,6.0,glucose,20170814,5.0,17370.61345818066,O2,r1,dilution,37,gchure,0.7814258263259226
23,8.0,glucose,20170814,5.0,7225.71450867793,O2,r1,dilution,37,gchure,0.0026678319885959445
24,0.0,glucose,20170814,10.0,7740.7235727243005,O2,r1,auto,37,gchure,0.0
25,0.0,glucose,20170814,10.0,20343.529883324318,O2,r1,delta,37,gchure,1.0
26,0.0,glucose,20170814,10.0,12533.323645873714,O2,r1,dilution,37,gchure,0.38028038795759594
27,10.0,glucose,20170814,10.0,7707.551865337173,O2,r1,dilution,37,gchure,-0.00263208896253746
28,2.0,glucose,20170814,10.0,15108.070971505083,O2,r1,dilution,37,gchure,0.5845799115855828
29,4.0,glucose,20170814,10.0,9166.31762556545,O2,r1,dilution,37,gchure,0.1131171913387343
30,6.0,glucose,20170814,10.0,8416.866264379198,O2,r1,dilution,37,gchure,0.05365016925525583
31,8.0,glucose,20170814,10.0,8054.7085229951845,O2,r1,dilution,37,gchure,0.024913891599428632
32,0.0,glucose,20170814,25.0,7861.057580344597,O2,r1,auto,37,gchure,0.0
33,0.0,glucose,20170814,25.0,17686.62301651538,O2,r1,delta,37,gchure,1.0
34,0.0,glucose,20170814,25.0,14533.420253375974,O2,r1,dilution,37,gchure,0.6790818010807254
35,10.0,glucose,20170814,25.0,8327.961405529719,O2,r1,dilution,37,gchure,0.04751928305991551
36,2.0,glucose,20170814,25.0,15061.348619564287,O2,r1,dilution,37,gchure,0.7328118759164038
37,4.0,glucose,20170814,25.0,12075.009591774353,O2,r1,dilution,37,gchure,0.4288762859302697
38,6.0,glucose,20170814,25.0,10015.166343875218,O2,r1,dilution,37,gchure,0.21923509415557058
39,8.0,glucose,20170814,25.0,9845.11180367154,O2,r1,dilution,37,gchure,0.2019277400589139
40,0.0,glucose,20170814,50.0,6733.558283827116,O2,r1,auto,37,gchure,0.0
41,0.0,glucose,20170814,50.0,22418.802298675753,O2,r1,delta,37,gchure,1.0
42,0.0,glucose,20170814,50.0,16307.471980124365,O2,r1,dilution,37,gchure,0.6103770962845065
43,10.0,glucose,20170814,50.0,9563.668240984398,O2,r1,dilution,37,gchure,0.18043136303637497
44,2.0,glucose,20170814,50.0,18632.536445633526,O2,r1,dilution,37,gchure,0.758609693960903
45,4.0,glucose,20170814,50.0,12759.016498637977,O2,r1,dilution,37,gchure,0.3841481974463887
46,6.0,glucose,20170814,50.0,12115.05878910328,O2,r1,dilution,37,gchure,0.3430931963941203
47,8.0,glucose,20170814,50.0,11387.43586371462,O2,r1,dilution,37,gchure,0.29670418741856047
48,0.0,glucose,20170814,75.0,6761.60047919886,O2,r1,auto,37,gchure,0.0
49,0.0,glucose,20170814,75.0,22617.285113177157,O2,r1,delta,37,gchure,1.0
50,0.0,glucose,20170814,75.0,16189.03935893057,O2,r1,dilution,37,gchure,0.594577849986305
51,10.0,glucose,20170814,75.0,12832.096451785794,O2,r1,dilution,37,gchure,0.3828592780899557
52,2.0,glucose,20170814,75.0,17721.422432475614,O2,r1,dilution,37,gchure,0.6912235079266245
53,4.0,glucose,20170814,75.0,15693.647581570945,O2,r1,dilution,37,gchure,0.5633340539096593
54,6.0,glucose,20170814,75.0,15005.527363466983,O2,r1,dilution,37,gchure,0.519935094231227
55,8.0,glucose,20170814,75.0,14416.041894116,O2,r1,dilution,37,gchure,0.48275691599679543
56,0.0,glucose,20170814,100.0,5973.919880706919,O2,r1,auto,37,gchure,0.0
57,0.0,glucose,20170814,100.0,20842.168917577816,O2,r1,delta,37,gchure,1.0
58,0.0,glucose,20170814,100.0,17769.53250341304,O2,r1,dilution,37,gchure,0.7933424166796558
59,10.0,glucose,20170814,100.0,12970.940839280796,O2,r1,dilution,37,gchure,0.4706015443528271
60,2.0,glucose,20170814,100.0,17078.49979147571,O2,r1,dilution,37,gchure,0.74686534259893
61,4.0,glucose,20170814,100.0,16292.417227150552,O2,r1,dilution,37,gchure,0.6939954611235929
62,6.0,glucose,20170814,100.0,16528.737300013316,O2,r1,dilution,37,gchure,0.7098897384037707
63,8.0,glucose,20170814,100.0,15853.837719574009,O2,r1,dilution,37,gchure,0.6644977370480184
64,0.0,glucose,20170814,250.0,6696.2650777660465,O2,r1,auto,37,gchure,0.0
65,0.0,glucose,20170814,250.0,21108.953122997937,O2,r1,delta,37,gchure,1.0
66,0.0,glucose,20170814,250.0,16857.956089883366,O2,r1,dilution,37,gchure,0.7050517558020056
67,10.0,glucose,20170814,250.0,19460.189673232613,O2,r1,dilution,37,gchure,0.8856033347429053
68,2.0,glucose,20170814,250.0,16406.670994505643,O2,r1,dilution,37,gchure,0.6737401022116803
69,4.0,glucose,20170814,250.0,16351.078486126831,O2,r1,dilution,37,gchure,0.6698829099790902
70,6.0,glucose,20170814,250.0,18781.111864661663,O2,r1,dilution,37,gchure,0.838486668758061
71,8.0,glucose,20170814,250.0,18415.12631320874,O2,r1,dilution,37,gchure,0.8130933798514853
72,0.0,glucose,20170814,500.0,5928.0820463067685,O2,r1,auto,37,gchure,0.0
73,0.0,glucose,20170814,500.0,21403.186594189323,O2,r1,delta,37,gchure,1.0
74,0.0,glucose,20170814,500.0,17268.80962314739,O2,r1,dilution,37,gchure,0.732836895657184
75,10.0,glucose,20170814,500.0,22036.05395893533,O2,r1,dilution,37,gchure,1.0408958377494515
76,2.0,glucose,20170814,500.0,16563.961880903957,O2,r1,dilution,37,gchure,0.6872896917554258
77,4.0,glucose,20170814,500.0,17374.850460787322,O2,r1,dilution,37,gchure,0.7396892459797181
78,6.0,glucose,20170814,500.0,18409.85035969937,O2,r1,dilution,37,gchure,0.8065708554518599
79,8.0,glucose,20170814,500.0,21080.56304377994,O2,r1,dilution,37,gchure,0.9791520923551029
80,0.0,glucose,20170814,1000.0,6800.5710707521985,O2,r1,auto,37,gchure,0.0
81,0.0,glucose,20170814,1000.0,20438.41996690481,O2,r1,delta,37,gchure,1.0
82,0.0,glucose,20170814,1000.0,16025.690933527056,O2,r1,dilution,37,gchure,0.6764351132660932
83,10.0,glucose,20170814,1000.0,22245.83426834231,O2,r1,dilution,37,gchure,1.1325292804752656
84,2.0,glucose,20170814,1000.0,15976.790962955205,O2,r1,dilution,37,gchure,0.6728495059651027
85,4.0,glucose,20170814,1000.0,16878.62929595268,O2,r1,dilution,37,gchure,0.7389771144952055
86,6.0,glucose,20170814,1000.0,17602.927281654614,O2,r1,dilution,37,gchure,0.792086515487782
87,8.0,glucose,20170814,1000.0,19264.259565190787,O2,r1,dilution,37,gchure,0.9139042813382933
88,0.0,glucose,20170814,5000.0,6619.244905798034,O2,r1,auto,37,gchure,0.0
89,0.0,glucose,20170814,5000.0,20685.791668865462,O2,r1,delta,37,gchure,1.0
90,0.0,glucose,20170814,5000.0,18049.49963952656,O2,r1,dilution,37,gchure,0.8125842771688182
91,10.0,glucose,20170814,5000.0,21011.294253070748,O2,r1,dilution,37,gchure,1.02314019138371
92,2.0,glucose,20170814,5000.0,18764.18639236307,O2,r1,dilution,37,gchure,0.8633918253805061
93,4.0,glucose,20170814,5000.0,19868.739138169698,O2,r1,dilution,37,gchure,0.9419152017579051
94,6.0,glucose,20170814,5000.0,20062.01040178869,O2,r1,dilution,37,gchure,0.9556549821655912
95,8.0,glucose,20170814,5000.0,20463.281335348336,O2,r1,dilution,37,gchure,0.9841815950094205
