# Date : 20170814
# Equipment : MACSQuant (Björkman Lab)
# User : gchure
# growth medium: M9 + 0.5% glucose
# growth temperature: 37 C
# Description :
# A first pass at developing the experimental protocol for a dilution-titration
# experiment.
# All cells (save for the autofluorescence control) contained a YFP molecule
# regulated by an O2+11 simple repression architecture. These cells were grown
# in M9 + 0.5% glucose minimal medium at 37°C for 8 hours prior to dilution
# and measurement. Cells were incubated with the following concentrations
# 0 ng/mL, 2 ng/mL, 4 ng/mL, 6 ng/mL, 8 ng/mL, 10 ng/mL of ATC as well as
# 0, 0.1, 5, 10, 25, 50, 75, 100, 250, 500, 1000, 5000 mM IPTG.
# Comments : Snapshots of the cells with 0 IPTG concentration revealed the
# expected behavior. The growth movie itself didn't work as expected, meaning
# that I am unable to get to protein copy number from this experiment alone.
# The flow rate was also surprisingly slow, making question the validity of
# the set entirely.
atc_ngml,carbon,date,iptg_um,mean_YFP_H,operator,run_no,strain,temp,username
0.0,glucose,20170814,0.1,6533.5957852320735,O2,r1,auto,37,gchure
0.0,glucose,20170814,0.0,7086.238165200036,O2,r1,auto,37,gchure
0.0,glucose,20170814,1000.0,6800.5710707521985,O2,r1,auto,37,gchure
0.0,glucose,20170814,100.0,5973.919880706919,O2,r1,auto,37,gchure
0.0,glucose,20170814,10.0,7740.7235727243,O2,r1,auto,37,gchure
0.0,glucose,20170814,250.0,6696.265077766046,O2,r1,auto,37,gchure
0.0,glucose,20170814,25.0,7861.057580344597,O2,r1,auto,37,gchure
0.0,glucose,20170814,5000.0,6619.244905798033,O2,r1,auto,37,gchure
0.0,glucose,20170814,500.0,5928.082046306769,O2,r1,auto,37,gchure
0.0,glucose,20170814,50.0,6733.558283827115,O2,r1,auto,37,gchure
0.0,glucose,20170814,5.0,7190.96059778988,O2,r1,auto,37,gchure
0.0,glucose,20170814,75.0,6761.60047919886,O2,r1,auto,37,gchure
0.0,glucose,20170814,0.1,21584.856890372084,O2,r1,delta,37,gchure
0.0,glucose,20170814,0.0,23749.884367821396,O2,r1,delta,37,gchure
0.0,glucose,20170814,1000.0,20438.41996690481,O2,r1,delta,37,gchure
0.0,glucose,20170814,100.0,20842.168917577816,O2,r1,delta,37,gchure
0.0,glucose,20170814,10.0,20343.529883324318,O2,r1,delta,37,gchure
0.0,glucose,20170814,250.0,21108.953122997937,O2,r1,delta,37,gchure
0.0,glucose,20170814,25.0,17686.62301651538,O2,r1,delta,37,gchure
0.0,glucose,20170814,5000.0,20685.791668865466,O2,r1,delta,37,gchure
0.0,glucose,20170814,500.0,21403.186594189323,O2,r1,delta,37,gchure
0.0,glucose,20170814,50.0,22418.80229867575,O2,r1,delta,37,gchure
0.0,glucose,20170814,5.0,20217.98442710593,O2,r1,delta,37,gchure
0.0,glucose,20170814,75.0,22617.28511317716,O2,r1,delta,37,gchure
0.0,glucose,20170814,0.1,9377.361585111172,O2,r1,dilution,37,gchure
0.0,glucose,20170814,0.0,8152.064499009618,O2,r1,dilution,37,gchure
0.0,glucose,20170814,1000.0,16025.690933527057,O2,r1,dilution,37,gchure
0.0,glucose,20170814,100.0,17769.53250341304,O2,r1,dilution,37,gchure
0.0,glucose,20170814,10.0,12533.323645873714,O2,r1,dilution,37,gchure
0.0,glucose,20170814,250.0,16857.956089883366,O2,r1,dilution,37,gchure
0.0,glucose,20170814,25.0,14533.420253375974,O2,r1,dilution,37,gchure
0.0,glucose,20170814,5000.0,18049.49963952656,O2,r1,dilution,37,gchure
0.0,glucose,20170814,500.0,17268.80962314739,O2,r1,dilution,37,gchure
0.0,glucose,20170814,50.0,16307.471980124366,O2,r1,dilution,37,gchure
0.0,glucose,20170814,5.0,10430.17672971174,O2,r1,dilution,37,gchure
0.0,glucose,20170814,75.0,16189.03935893057,O2,r1,dilution,37,gchure
10.0,glucose,20170814,0.1,6547.41817355185,O2,r1,dilution,37,gchure
10.0,glucose,20170814,0.0,6903.598948510609,O2,r1,dilution,37,gchure
10.0,glucose,20170814,1000.0,22245.83426834231,O2,r1,dilution,37,gchure
10.0,glucose,20170814,100.0,12970.940839280795,O2,r1,dilution,37,gchure
10.0,glucose,20170814,10.0,7707.551865337173,O2,r1,dilution,37,gchure
10.0,glucose,20170814,250.0,19460.189673232613,O2,r1,dilution,37,gchure
10.0,glucose,20170814,25.0,8327.961405529719,O2,r1,dilution,37,gchure
10.0,glucose,20170814,5000.0,21011.29425307075,O2,r1,dilution,37,gchure
10.0,glucose,20170814,500.0,22036.053958935332,O2,r1,dilution,37,gchure
10.0,glucose,20170814,50.0,9563.668240984398,O2,r1,dilution,37,gchure
10.0,glucose,20170814,5.0,6621.870260412148,O2,r1,dilution,37,gchure
10.0,glucose,20170814,75.0,12832.096451785794,O2,r1,dilution,37,gchure
2.0,glucose,20170814,0.1,15119.38321822471,O2,r1,dilution,37,gchure
2.0,glucose,20170814,0.0,16073.283854967434,O2,r1,dilution,37,gchure
2.0,glucose,20170814,1000.0,15976.790962955203,O2,r1,dilution,37,gchure
2.0,glucose,20170814,100.0,17078.49979147571,O2,r1,dilution,37,gchure
2.0,glucose,20170814,10.0,15108.070971505082,O2,r1,dilution,37,gchure
2.0,glucose,20170814,250.0,16406.670994505643,O2,r1,dilution,37,gchure
2.0,glucose,20170814,25.0,15061.348619564289,O2,r1,dilution,37,gchure
2.0,glucose,20170814,5000.0,18764.18639236307,O2,r1,dilution,37,gchure
2.0,glucose,20170814,500.0,16563.961880903957,O2,r1,dilution,37,gchure
2.0,glucose,20170814,50.0,18632.536445633526,O2,r1,dilution,37,gchure
2.0,glucose,20170814,5.0,15785.243075133943,O2,r1,dilution,37,gchure
2.0,glucose,20170814,75.0,17721.422432475614,O2,r1,dilution,37,gchure
4.0,glucose,20170814,0.1,7457.219811799355,O2,r1,dilution,37,gchure
4.0,glucose,20170814,0.0,7659.133317885308,O2,r1,dilution,37,gchure
4.0,glucose,20170814,1000.0,16878.62929595268,O2,r1,dilution,37,gchure
4.0,glucose,20170814,100.0,16292.417227150552,O2,r1,dilution,37,gchure
4.0,glucose,20170814,10.0,9166.31762556545,O2,r1,dilution,37,gchure
4.0,glucose,20170814,250.0,16351.07848612683,O2,r1,dilution,37,gchure
4.0,glucose,20170814,25.0,12075.009591774351,O2,r1,dilution,37,gchure
4.0,glucose,20170814,5000.0,19868.7391381697,O2,r1,dilution,37,gchure
4.0,glucose,20170814,500.0,17374.850460787322,O2,r1,dilution,37,gchure
4.0,glucose,20170814,50.0,12759.016498637975,O2,r1,dilution,37,gchure
4.0,glucose,20170814,5.0,8217.67169528269,O2,r1,dilution,37,gchure
4.0,glucose,20170814,75.0,15693.647581570945,O2,r1,dilution,37,gchure
6.0,glucose,20170814,0.1,7151.234763346938,O2,r1,dilution,37,gchure
6.0,glucose,20170814,0.0,7362.407224013624,O2,r1,dilution,37,gchure
6.0,glucose,20170814,1000.0,17602.927281654614,O2,r1,dilution,37,gchure
6.0,glucose,20170814,100.0,16528.737300013316,O2,r1,dilution,37,gchure
6.0,glucose,20170814,10.0,8416.866264379198,O2,r1,dilution,37,gchure
6.0,glucose,20170814,250.0,18781.111864661663,O2,r1,dilution,37,gchure
6.0,glucose,20170814,25.0,10015.166343875218,O2,r1,dilution,37,gchure
6.0,glucose,20170814,5000.0,20062.010401788695,O2,r1,dilution,37,gchure
6.0,glucose,20170814,500.0,18409.85035969937,O2,r1,dilution,37,gchure
6.0,glucose,20170814,50.0,12115.05878910328,O2,r1,dilution,37,gchure
6.0,glucose,20170814,5.0,17370.61345818066,O2,r1,dilution,37,gchure
6.0,glucose,20170814,75.0,15005.52736346698,O2,r1,dilution,37,gchure
8.0,glucose,20170814,0.1,6799.517987584865,O2,r1,dilution,37,gchure
8.0,glucose,20170814,0.0,8716.579931332095,O2,r1,dilution,37,gchure
8.0,glucose,20170814,1000.0,19264.259565190787,O2,r1,dilution,37,gchure
8.0,glucose,20170814,100.0,15853.837719574007,O2,r1,dilution,37,gchure
8.0,glucose,20170814,10.0,8054.708522995184,O2,r1,dilution,37,gchure
8.0,glucose,20170814,250.0,18415.12631320874,O2,r1,dilution,37,gchure
8.0,glucose,20170814,25.0,9845.11180367154,O2,r1,dilution,37,gchure
8.0,glucose,20170814,5000.0,20463.281335348336,O2,r1,dilution,37,gchure
8.0,glucose,20170814,500.0,21080.56304377994,O2,r1,dilution,37,gchure
8.0,glucose,20170814,50.0,11387.435863714618,O2,r1,dilution,37,gchure
8.0,glucose,20170814,5.0,7225.71450867793,O2,r1,dilution,37,gchure
8.0,glucose,20170814,75.0,14416.041894116,O2,r1,dilution,37,gchure
