,parameter,value
0,max df,0.008135935417788186
1,max df std,4.6218434223787424e-05
2,max df stderr,4.621843422378742e-06
3,time of max df,506.3166666666667
4,time of max df std,4.986732397071242
5,time of max df stderr,0.4986732397071242
6,inverse max df,85.19850531436549
7,inverse max df std,0.48372292380416015
8,inverse max df stderr,0.048372292380416015
9,max y,0.2325441204714755
10,max y std,0.0016915624782736201
11,max y stderr,0.00016915624782736202
12,lag time,278.2669321331383
13,lag time std,1.3507329439765026
14,lag time stderr,0.13507329439765026
