parameter,value
max df,0.008157180828538304
max df std,4.765818852762155e-05
max df stderr,4.765818852762155e-06
time of max df,507.85666666666657
time of max df std,7.411740686235575
time of max df stderr,0.7411740686235575
inverse max df,84.97676267281382
inverse max df std,0.49602692111442287
inverse max df stderr,0.04960269211144229
max y,0.23188951268424718
max y std,0.0017704657452214357
max y stderr,0.00017704657452214358
lag time,316.92302022675455
lag time std,1.347008871562369
lag time stderr,0.1347008871562369
doubling time,84.97386476157735
