clock_time,elapsed_time_min,run_number,absorbance,carbon,temperature,operator,date
11h32m,42,1,0.11,glucose,37,O2,20180616
11h33m,43,1,0.11,glucose,37,O2,20180616
11h35m,45,1,0.11,glucose,37,O2,20180616
11h59m,69,1,0.12,glucose,37,O2,20180616
12h00m,70,1,0.13,glucose,37,O2,20180616
12h01m,71,1,0.16,glucose,37,O2,20180616
12h29m,99,1,0.18,glucose,37,O2,20180616
12h30m,100,1,0.18,glucose,37,O2,20180616
12h31m,101,1,0.18,glucose,37,O2,20180616
13h01m,131,1,0.21,glucose,37,O2,20180616
13h01m,131,1,0.22,glucose,37,O2,20180616
13h02m,132,1,0.21,glucose,37,O2,20180616
13h33m,163,1,0.28,glucose,37,O2,20180616
13h33m,163,1,0.28,glucose,37,O2,20180616
13h34m,164,1,0.29,glucose,37,O2,20180616
13h59m,189,1,0.38,glucose,37,O2,20180616
14h00m,190,1,0.33,glucose,37,O2,20180616
14h01m,191,1,0.34,glucose,37,O2,20180616
14h31m,221,1,0.39,glucose,37,O2,20180616
14h32m,222,1,0.44,glucose,37,O2,20180616
14h33m,223,1,0.4,glucose,37,O2,20180616
15h03m,253,1,0.57,glucose,37,O2,20180616
15h03m,253,1,0.56,glucose,37,O2,20180616
15h04m,254,1,0.55,glucose,37,O2,20180616
15h32m,282,1,0.7,glucose,37,O2,20180616
15h33m,283,1,0.6,glucose,37,O2,20180616
15h35m,285,1,0.64,glucose,37,O2,20180616
16h04m,314,1,0.75,glucose,37,O2,20180616
16h05m,315,1,0.77,glucose,37,O2,20180616
16h06m,316,1,0.8,glucose,37,O2,20180616
16h30m,340,1,0.8,glucose,37,O2,20180616
16h31m,341,1,0.92,glucose,37,O2,20180616
16h31m,341,1,0.81,glucose,37,O2,20180616
