,parameter,value
0,max df,0.011402847728348655
1,max df std,9.967212146543288e-05
2,max df stderr,9.967212146543288e-06
3,time of max df,258.0266666666667
4,time of max df std,5.685103341189165
5,time of max df stderr,0.5685103341189165
6,inverse max df,60.79184574192521
7,inverse max df std,0.5315788908740562
8,inverse max df stderr,0.05315788908740562
9,max y,0.20784696265360175
10,max y std,0.004089911523142143
11,max y stderr,0.00040899115231421434
12,lag time,125.51196617365498
13,lag time std,2.5354148294022933
14,lag time stderr,0.2535414829402293
