strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,550.0,2430.6236363636363,275.66,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.2385137557968218
delta,672.0,2300.813988095238,277.51785714285717,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.164011043041461
delta,461.0,1375.175704989154,275.93709327548805,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.6327518951926892
delta,499.0,2201.7434869739477,281.0300601202405,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.1071507003317422
delta,463.0,1816.4470842332614,281.2375809935205,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.8860143857204384
delta,776.0,1927.1842783505156,279.82603092783506,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.9495706889283019
delta,667.0,1907.1019490254873,279.11694152923536,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.93804467346551
delta,544.0,1493.7683823529412,266.5202205882353,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.7008167601267267
delta,786.0,2568.4961832061067,279.63358778625957,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.3176440738531205
delta,643.0,2205.4712286158633,278.92068429237946,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.1092901935703312
delta,457.0,512.910284463895,285.69365426695845,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.1378648525019405
delta,585.0,1692.3487179487179,265.4307692307692,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.8147895957295566
delta,521.0,2220.834932821497,283.0134357005758,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.1181080099388339
delta,495.0,2245.7353535353536,281.0262626262626,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.132399311985168
delta,813.0,2199.0012300123003,276.2619926199262,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.10557681437303
delta,541.0,2705.0887245841036,273.19778188539743,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.3960397479078595
delta,737.0,1292.5345997286295,283.00542740841246,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.5853210099762064
delta,458.0,1695.0349344978165,275.8624454148472,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.8163313179561078
delta,619.0,1407.7334410339256,280.21809369951535,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.6514380228331644
delta,541.0,1555.8946395563771,268.93530499075786,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.7364733908682496
delta,689.0,1868.931785195936,266.50507982583457,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.9161373592592637
delta,638.0,1858.539184952978,282.3542319749216,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.9101726492318435
delta,798.0,2291.3684210526317,286.50125313283206,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.1585898715216694
delta,730.0,2025.2438356164384,269.0835616438356,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.0058508123656247
delta,598.0,2743.5585284280937,282.90802675585286,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.418119036957452
delta,593.0,1669.29173693086,279.8920741989882,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.8015563140999238
delta,780.0,1870.373076923077,267.2987179487179,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.9169645716042338
delta,644.0,1612.4068322981366,270.6847826086956,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.7689078956926486
delta,669.0,2139.337817638266,279.33482810164423,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.0713337043006839
delta,922.0,2422.6605206073755,273.24837310195227,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.2339434196643355
delta,875.0,2437.961142857143,279.92571428571426,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.2427250308901494
delta,507.0,2153.005917159763,271.94871794871796,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.079178348409543
delta,502.0,2044.4223107569721,287.3426294820717,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,1.016858071406391
delta,861.0,1718.4808362369338,275.6329849012776,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.8297878160351116
delta,473.0,1909.3340380549682,274.6786469344609,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.939325754571777
delta,391.0,1772.4884910485935,268.4040920716113,0.0,20190301,acetate,37,O2,1,,,3534.308759270262,3534.308759270262,3541.788872396262,2701.5021275526165,4588.758650264995,0.8607848709281671
