,parameter,value
0,max df,0.01199950531502551
1,max df std,0.00013929651914618556
2,max df stderr,1.3929651914618556e-05
3,time of max df,246.54666666666665
4,time of max df std,7.356330607035015
5,time of max df stderr,0.7356330607035015
6,inverse max df,57.77247357510613
7,inverse max df std,0.6743548581539953
8,inverse max df stderr,0.06743548581539953
9,max y,0.22069333638949273
10,max y std,0.003438282340187511
11,max y stderr,0.0003438282340187511
12,lag time,184.43754428957033
13,lag time std,1.4533285279280503
14,lag time stderr,0.14533285279280503
