,I_1,I_2,summed,fluct
0,3322.6814489764392,2752.1336563918157,6074.815105368255,325524.7836231866
1,3594.9830893946028,3371.7641749302607,6966.747264324864,49826.68377463928
2,13134.078168140119,14263.187625372295,27397.265793512415,1274888.1664111398
3,16346.517516340049,16179.791412632367,32526.308928972416,27797.593657544847
4,15795.050930438012,19823.064296077184,35618.1152265152,16224891.673767809
5,7615.544247618417,11916.694814615625,19532.239062234043,18499896.1999804
6,10244.051943285493,17295.503137853375,27539.555081138868,49722963.94937281
7,14395.394187044953,15767.21536949814,30162.609556543095,1881893.3566272634
8,3188.298095451956,2622.9969614575375,5811.295056909494,319565.37209537573
9,3640.50415070087,3477.4352968099793,7117.939447510849,26591.451109288675
10,31923.544247618425,29731.119784328894,61654.66403194732,4806725.02723039
11,2061.2574921106666,1575.490785061692,3636.7482771723585,235969.2936772044
12,1914.3669493428376,1795.038577646314,3709.4055269891514,14239.2602917437
13,2380.5581196813455,1014.8597600995054,3395.417879780851,1865132.009364529
14,16805.21536949815,17758.023692735904,34563.23906223405,907843.7008311402
15,14002.174766156848,17509.70868667855,31511.8834528354,12302794.203610344
16,16687.134162815564,16771.72306516522,33458.857227980785,7155.282400719734
17,11708.83302882114,10474.504657124615,22183.337685945757,1523566.5291749954
18,9159.175779004338,9268.408565531621,18427.584344535957,11931.801652515127
19,1109.0385776463077,1214.7785534169298,2323.8171310632374,11180.942475971748
20,1614.3402180644775,1804.106925113454,3418.4471431779316,36011.40310421207
21,6510.641352058896,6554.709699526039,13065.351051584934,1942.0192484848676
22,6323.038577646312,7081.654717698078,13404.69329534439,575498.4479470403
23,9402.025212007135,10771.189651067263,20173.214863074398,1874611.2611868368
24,10791.559638952578,9506.573004591757,20298.132643544333,1651190.6504859503
25,17222.07968741134,20430.91524835122,37652.99493576256,10296625.657152345
26,18926.559132528837,18364.339711640736,37290.89884416957,316090.67722375167
27,848.3818342532543,531.6418584826448,1380.0236927358992,100324.21225116627
28,9282.420918323305,7926.845381612832,17209.26629993614,1837585.035727887
29,4508.271364173588,4883.599735870121,9391.871100043709,140871.38660037046
30,4625.490278637946,5885.7641749302575,10511.254453568203,1588290.2936758033
31,5690.833028821141,4885.5313884029765,10576.364417224118,648510.7320601866
32,6007.860266523252,5789.38031498202,11797.240581505272,47733.48922545924
33,5695.62849284346,4998.436309657468,10694.064802500929,486076.9402956495
34,13991.298095451957,12267.641352058892,26258.93944751085,2970992.569044386
35,13651.914235503722,11690.777034145687,25342.69126964941,3846059.1225504256
36,12036.421424747063,12095.065308924679,24131.486733671743,3439.1051514376636
37,4596.833028821146,3363.956358116239,7960.789386937386,1519984.8851684171
38,21975.21587592189,22526.95534526876,44502.171221190656,304416.4420351662
39,19717.120290752635,18701.325839577807,38418.44613033044,1031838.3670375706
40,22663.517516340053,17514.736937228146,40178.254453568195,26509941.451839935
41,4369.366949342841,3982.188638219774,8351.555587562614,149907.04460411015
42,3754.175779004343,3894.682461823932,7648.858240828275,19742.127916964604
43,12880.600748717607,13034.724078012712,25915.32482673032,23754.00063300755
44,17120.69582746311,14545.065815348422,31665.761642811533,6633869.959305911
45,15038.147528454749,15863.408059107875,30901.555587562623,681054.943453879
46,16412.449168872903,16831.40805910788,33243.857227980785,175526.55170692192
47,18512.819663181956,18059.079687411355,36571.89935059331,205879.96561230533
48,20261.408565531616,20322.42243759454,40583.83100312616,3722.69258411106
49,22008.011339944205,20531.791919056104,42539.80325900031,2179223.7786072004
50,16159.228228713586,17225.297082604466,33384.52531131805,1136502.801236214
51,11369.860266523252,10190.216382345632,21560.076648868882,1391559.6934776618
52,11309.51802276379,8685.696333886855,19995.214356650646,6884440.2550210105
53,20880.07867456385,23611.394187044953,44491.4728616088,7460084.428719904
54,22050.353583703665,18981.92912041413,41032.282704117795,9415228.686913673
55,20626.791919056104,20349.17577900433,40975.967698060434,77070.72121724619
56,26604.68195540019,25637.065308924673,52241.74726432486,936281.9745365221
57,30132.54424761843,24694.352570856172,54826.896818474605,29573928.713206287
58,10608.43580323373,10488.6413520589,21097.07715529263,14350.710532278754
59,17004.311967514877,19214.435296809985,36218.74726432486,4884645.13069449
60,14105.573004591755,14528.723571588964,28634.29657618072,179056.40235005898
61,21393.27085774984,20454.60024229387,41847.87110004371,881102.524320494
62,19787.011339944194,21127.559132528837,40914.57047247303,1797068.3842035579
63,13115.25749211066,12326.723065165215,25441.980557275878,621786.5424781819
64,12171.654717698078,10183.736430804407,22355.391148502487,3951819.1153662694
65,20464.408565531623,19223.518022763794,39687.92658829542,1539809.3391306377
66,22760.093053050536,18483.942486053314,41244.03553910385,18285463.671630654
67,14602.984102242099,13927.627986419713,28530.612088661812,456105.8831786995
68,14225.942992477057,12306.901882712027,26532.844875189083,3682718.780968199
69,2612.7240780127113,3614.189651067267,6226.913729079978,1002933.2940134893
70,17684.65471769808,15093.422437594545,32778.07715529262,6714484.729450556
71,18023.983595818354,15935.339711640729,33959.32330745908,4362433.274912598
72,1517.2991082994395,1781.135175663049,3298.4342839624887,69609.47044189513
73,2873.1891446435247,3865.73744365189,6738.926588295415,985152.125864399
74,11117.504150700868,10394.558626105085,21512.062776805953,522650.2315330724
75,15018.859253675753,15359.256479263182,30378.115732938935,115870.27118761883
76,17042.489772214198,17067.571485320514,34110.06125753471,629.0923323475375
77,4459.518022763792,3744.052449709242,8203.570472473035,511890.98622627574
78,3204.613607933045,2347.873125738693,5552.486733671738,734004.2538306107
79,2787.080193835088,2633.271870597338,5420.352064432425,23657.00029720814
80,2482.2441264714835,3179.490785061687,5661.734911533171,486152.9029152037
81,6062.927601142898,5393.8998570170515,11456.82745815995,447598.1224101195
82,2456.7508092910766,3137.8052846952937,5594.55609398637,463835.1984681134
83,6492.024199159647,11623.777540569443,18115.80173972909,26334892.357070606
84,5775.696333886857,7392.490785061684,13168.187118948541,2614024.297349708
85,15410.887504225355,20162.7487835961,35573.63628782146,22580185.618382975
86,7138.215369498144,7765.885984954132,14904.101354452276,393970.40150689863
87,3282.3659364953546,3231.0504240142536,6513.416360509608,2633.281821198032
88,4245.147022031,2828.995948610049,7074.142970641049,2005483.862751313
89,11614.653704850596,13712.571991744271,25327.22569659487,4401261.138482892
90,12918.434790386236,12595.54374119467,25513.978531580906,104258.62964803075
91,19352.859253675757,17293.40704626039,36646.26629993615,4241343.394628033
92,18996.03857764631,19040.888010649094,38036.926588295406,2011.4716406710727
93,27632.84538161283,29529.529362708003,57162.374744320834,3597410.1241430286
94,13889.199978163982,12255.063789653444,26144.26376781743,2670401.0825997484
95,29480.84538161285,30297.078168140113,59777.92354975296,666235.9618020615
96,14620.832015973647,14669.490278637939,29290.322294611586,2367.626525507245
97,13470.394187044945,13419.380314982029,26889.774502026972,2602.415142851619
98,29964.324826730328,13677.052956132979,43641.3777828633,265275224.98675168
99,23780.011339944198,21332.545766889645,45112.55710683385,5990087.73128725
100,23154.16190694141,21984.07968741134,45138.241594352745,1369092.4004604102
101,15852.256985686914,18101.133656391812,33953.390642078724,5057446.280040747
102,14798.9558516925,17440.790906208622,32239.74675790112,6979292.455270196
103,12305.545260465908,13013.244632895225,25318.789893361132,500838.40173684916
104,33073.10641868971,34244.98308939461,67318.08950808432,1373294.9313424004
105,38473.558626105085,37224.626973572216,75698.1855996773,1559830.272698482
106,12036.77754056943,12411.900869864541,24448.67841043397,140717.5121814483
107,12200.778046993184,14711.339205216987,26912.11725221017,6302917.3291820455
108,6115.024199159639,4792.010833520454,10907.035032680093,1750364.3656599224
109,5336.449168872903,5789.900363440792,11126.349532313696,205617.98585504526
110,9377.84639446033,8356.161400517674,17734.007794978002,1043840.2268476043
111,9287.298095451952,9133.010833520466,18420.308928972416,23804.559194314897
112,16105.093053050523,17590.06581534842,33695.15886839894,2205144.1047666413
113,34709.07816814013,33543.27035132609,68252.34851946622,1359107.8657447055
114,35424.95585169251,35755.13365639183,71180.08950808435,109017.38271606257
115,7687.449675296654,6791.997974305024,14479.44764960168,801833.7488088033
116,7376.997467881283,7411.366442919095,14788.363910800377,1181.2264451497203
117,6939.120797176383,7589.10692511345,14528.227722289834,422481.9665106213
118,8291.532401250464,9367.80629754278,17659.338698793246,1158365.4998402426
119,8665.627986419713,9918.627479995974,18584.255466415685,1570007.7309023656
120,15726.488759366703,17978.831509549913,33705.320268916614,5073047.864302867
121,20789.8721128912,20893.17324688562,41683.04535977682,10671.124284533224
122,23892.69582746312,20589.695827463103,44482.39165492622,10909809.000000121
123,15863.790906208613,13586.53088197923,29450.321788187845,5185913.21795321
124,7409.173753309366,11309.254959991937,18718.428713301302,15210633.41871858
125,24289.24260720025,26701.147022030986,50990.389629231235,5817282.906279998
126,24023.996961457542,24769.243113623983,48793.24007508153,555391.827318886
127,5657.736937228149,4875.874138586179,10533.611075814328,611309.4359002546
128,4619.010833520461,4181.435803233722,8800.446636754183,191471.90713044064
129,6052.229747984811,5674.257492110661,11726.487240095472,142863.0262105943
130,4069.4085655316226,5170.846394460319,9240.254959991942,1213165.2909951606
131,38774.981570123375,36490.14550275976,75265.12707288313,5220475.854725619
132,6277.888517072843,7973.682968247679,14251.57148532052,2875718.820635365
133,7968.709193102298,7365.7914126323685,15334.500605734665,363509.8500067859
134,2554.8869978016155,1815.2698449023644,4370.15684270398,547033.5328627941
135,23535.81763748698,22291.804778271548,45827.622415758524,1547567.9938933551
136,17069.35409012741,19656.21688876937,36725.57097889678,6691859.138997712
137,23851.8880106491,23657.613607933043,47509.501618582144,37742.54355068141
138,8016.92912041414,7931.695827463115,15948.624947877255,7264.714227275223
139,8930.352570856163,8156.36644291909,17086.719013775255,599054.5262390224
140,15613.833028821147,14726.92912041414,30340.762149235285,786598.5427476268
141,18940.613607933043,17706.051943285496,36646.66555121854,1524142.5038173208
142,23835.39418704495,22066.29809545196,45901.69228249691,3129700.9812895926
143,21701.2703513261,22738.009820672974,44439.280171999075,1074828.727301638
144,10350.39469346869,13490.093053050532,23840.487746519222,9857705.78916091
145,11363.763668506517,13749.516503492567,25113.280171999082,5691816.589643972
146,13675.379808558286,16047.653704850583,29723.033513408867,5627683.439029839
147,8518.777540569443,8590.668083337256,17109.4456239067,5168.250139450722
148,8292.46202808834,7719.517516340045,16011.979544428385,328265.4135424907
149,11451.531388402978,10798.134162815559,22249.66555121854,426927.9344053373
150,13089.4897722142,12846.33920521699,25935.82897743119,59122.19823106484
151,5394.270351326096,4237.65471769808,9631.925069024175,1337759.7239527358
152,3638.846394460325,3995.256985686923,7634.103380147248,127028.50953849326
153,8512.202003858967,8396.668589761,16908.87059361997,13347.969773132243
154,10266.489772214198,9601.681448976442,19868.17122119064,441970.10664619633
155,3067.6141143567884,3688.3129803623674,6755.927094719156,385267.08226061176
156,3372.956358116243,5017.3258395778075,8390.28219769405,2703950.991562175
157,14358.244126471487,11007.737443651888,25365.981570123375,11225895.031618796
158,10039.668589761006,14447.38031498202,24487.048904743024,19427922.652650803
159,4820.381834253256,5408.696333886856,10229.078168140113,346113.9504791337
160,8506.134162815566,9881.901376288279,18388.035539103847,1892735.4256664726
161,9235.23025440856,7280.011339944205,16515.241594352767,3822881.0034791683
162,2191.5185291875364,3747.544247618409,5939.062776805946,2421216.036418313
163,8892.969217331674,8623.408059107871,17516.377276439547,72663.21802295839
164,8250.39469346869,9387.996961457538,17638.39165492623,1294138.9201333714
165,6184.8196631819565,5871.0390840700575,12055.858747252014,98458.2518277987
166,5242.942992477061,4945.312980362372,10188.255972839434,88583.62411138976
167,2353.5586261050903,1434.9702301791722,3788.5288562842625,843804.6411297513
168,1748.5452604658994,1248.9013762882792,2997.4466367541786,249644.01099609924
169,8672.708686678547,19318.036551951333,27990.74523862988,113323005.35915324
170,13234.641858482639,26739.85925367576,39974.501112158396,182390896.8914269
171,4850.121303600127,4900.7240780127095,9750.845381612837,2560.640778250686
172,5993.860772946997,5869.052449709239,11862.913222656236,15577.117549420578
173,5001.7096995260345,6114.6002422938645,11116.309941819898,1238525.3601820755
174,13288.531894826721,13955.737443651895,27244.269338478618,445163.244383101
175,16648.778046993186,14660.271870597335,31309.04991759052,3954156.8135644477
176,5356.2307608323,5835.381327829509,11191.612088661808,229585.2658537472
177,17270.626467148475,18581.489772214194,35852.11623936267,1718362.6045678204
178,21131.681448976444,19060.40704626039,40192.088495236836,4290177.6513467515
179,39600.88649137788,43671.37879571079,83272.26528708867,16568907.59963345
180,11611.833028821145,11410.956358116247,23022.789386937395,40351.43683348405
181,17000.91372907997,16081.831509549906,33082.745238629876,844712.1262563093
182,13015.81915675821,12523.216382345627,25539.03553910384,242657.49335897516
183,13867.983595818356,13183.216888769375,27051.20048458773,468905.44308270444
184,14915.901376288282,17256.860266523247,32172.76164281153,5480088.525770115
