strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_mean,alpha_median,alpha_hpd_min,alpha_hpd_max,fold_change
delta,241.0,956.8008298755186,190.1078838174274,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.9381834314085324
delta,689.0,1042.5486211901307,192.03483309143687,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,1.0396584655516874
delta,271.0,832.3579335793358,189.79335793357933,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.7909161145840538
delta,454.0,781.8832599118942,184.98678414096915,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.731183739496097
delta,503.0,1331.5328031809145,189.20675944333996,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,1.381646046628302
delta,701.0,1534.5563480741798,191.3808844507846,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,1.6219067091370258
delta,698.0,1057.6790830945558,183.6733524355301,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,1.0575640478974757
delta,593.0,764.3777403035413,186.51433389544687,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.7104674834536095
delta,729.0,872.9890260631001,182.3744855967078,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.8389994696635574
delta,668.0,791.3862275449102,197.2814371257485,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.7424296730675343
delta,366.0,766.0928961748634,199.78415300546447,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.7124972208723224
delta,759.0,1158.0316205533597,186.77470355731225,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,1.1763225256245757
delta,656.0,1226.6173780487804,192.83841463414635,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,1.257487789206076
delta,404.0,728.3539603960396,193.740099009901,0.0,20181106,glycerol,37,O2,1,,,450.39298678716693,450.39298678716693,452.2219921166468,398.4714050292684,513.1124588880189,0.667836481068172
