parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,source
epRA,1,-14.964191292669453,-14.958277590290763,-14.965238055452858,-15.272644465393983,-14.662892147856319,0.95,no_correction
sigma,1,0.46415288972756774,0.4676799557540723,0.4637447421217977,0.3759861546163204,0.5502199382983477,0.95,no_correction
epRA,1,-14.716760015095897,-14.686382106482496,-14.70743113526359,-15.03280797482954,-14.4246560754236,0.95,correction
sigma,1,0.4726523262643462,0.47206768665217225,0.47202158712232783,0.3765847007327613,0.5627578712916764,0.95,correction
epRA,1,-14.50510984776183,-14.50643478747628,-14.501945089858607,-14.853658257102182,-14.176344050276072,0.95,large_only
sigma,1,0.4589014601321907,0.46217967893142003,0.4578665526819333,0.3670877595877548,0.5482458781639598,0.95,large_only
epRA,1,-14.267086216866039,-14.26643899217914,-14.26419062538599,-14.560545958914288,-13.960825175695286,0.95,all_divided
sigma,1,0.4638288122367481,0.4672887307711351,0.46232257746743877,0.3763032348041818,0.5536545262399725,0.95,all_divided
epRA,1,-14.05494059532538,-14.221214498481439,-14.141265826496264,-14.411285551445898,-13.466632206827674,0.95,garcia
sigma,1,0.16405479764399608,0.1433136603718612,0.158899004468957,0.061269576711712355,0.2800006899896346,0.95,garcia
epRA,1,-13.672866645034683,-13.670339171927024,-13.673468824806992,-13.785957092015831,-13.558513525487115,0.95,brewster
sigma,1,0.11083489445422506,0.10329399395894047,0.1061868342395968,0.04858013038563357,0.1830465658792702,0.95,brewster
epRA,1,-13.985927087634252,-13.985829564345025,-13.985559500888048,-14.067426593678817,-13.900934242125599,0.95,razo-mejia
sigma,1,0.21618810741628874,0.21200003028821482,0.21428134020325598,0.15579281463398398,0.28170612302282627,0.95,razo-mejia
