parameter,dimension,mean,mode,median,hpd_min,hpd_max,mass_fraction,atc_ngml,carbon,temp
empirical_F,9,-2.651501779050462,-2.7521703089481133,-2.6295842102793188,-3.1316190859544886,-2.2214268794163954,0.95,4.0,acetate,37
empirical_F,10,-3.4907349914484387,-3.43779528242636,-3.483653705875029,-3.8144628193707315,-3.17108073070338,0.95,7.0,acetate,37
empirical_F,11,-3.4095331849779758,-3.445614893164075,-3.4026136543819048,-3.6138787712779714,-3.235524748268813,0.95,10.0,acetate,37
fc_mu,1,0.26611566669818204,0.24515088165312293,0.27310702422153593,0.11349971460649311,0.3913737533393652,0.95,1.0,glucose,32
fc_mu,2,0.1057675860446991,0.11523109229388673,0.1001464544331262,0.03327924816783012,0.19698278854665596,0.95,2.0,glucose,32
fc_mu,3,0.03934178694865494,0.03894061920343472,0.039476528293516056,0.023097548464640516,0.056233861667083884,0.95,3.0,glucose,32
fc_mu,4,0.02372783414489151,0.02320947523403194,0.023497304724664658,0.018746839927491266,0.02811153331792493,0.95,4.0,glucose,32
fc_mu,5,0.022801489450771102,0.01738811177483557,0.021024157282459932,0.012140267396955173,0.03817890082181119,0.95,7.0,glucose,32
fc_mu,6,0.01626383178534637,0.01663659328230882,0.01616778452599449,0.012770207383492882,0.020473746905293355,0.95,10.0,glucose,32
fc_sigma,1,0.14798279485421914,0.09896278079987293,0.1400379471941835,0.07412474470756891,0.24631026523040037,0.95,1.0,glucose,32
fc_sigma,2,0.09384646906678236,0.06679503277940027,0.08796086162433848,0.044152192629020634,0.15748091797784494,0.95,2.0,glucose,32
fc_sigma,3,0.01997657800233074,0.012170594245827863,0.016797017164591074,0.007243384390619988,0.040625022649963406,0.95,3.0,glucose,32
fc_sigma,4,0.004756884050604501,0.0033832774001003496,0.003929399722819542,0.0015983899881216808,0.009269325406823554,0.95,4.0,glucose,32
fc_sigma,5,0.012607900066518254,0.007997603137306844,0.007916939377460143,0.002659569691837521,0.04120458651032722,0.95,7.0,glucose,32
fc_sigma,6,0.0038754326079465215,0.0029484212962863896,0.0033504553768915883,0.0013543922707299238,0.007417152103201106,0.95,10.0,glucose,32
rep_mu,1,0.06092222600554136,0.0626373775488186,1.6414807402220788e-08,2.220446049250313e-16,0.5747240371339746,0.95,1.0,glucose,32
rep_mu,2,0.01881267483545864,6.705747068735946e-14,7.561418158275046e-11,2.220446049250313e-16,0.06185981747817604,0.95,2.0,glucose,32
rep_mu,3,0.019835997662904403,8.393286066166183e-13,2.5924756785755676e-09,2.220446049250313e-16,0.0835612603222674,0.95,3.0,glucose,32
rep_mu,4,0.01982280296823824,5.737854635867734e-12,7.457420236889334e-10,2.220446049250313e-16,0.09740803933920972,0.95,4.0,glucose,32
rep_mu,5,0.03477442423184522,0.007235667363505782,2.5240903700485262e-08,2.220446049250313e-16,0.22509449758907296,0.95,7.0,glucose,32
rep_mu,6,0.023181646016714727,1.1918501874541576e-05,2.279535005200728e-09,2.220446049250313e-16,0.12452186234411655,0.95,10.0,glucose,32
rep_sigma,1,3.058477923098319,2.8433345847991145,2.604594241122884,0.9154511367983471,6.345997564699615,0.95,1.0,glucose,32
rep_sigma,2,8.614869385937004,6.529598087568324,7.7150529674192985,3.5630492007661787,15.86867451053332,0.95,2.0,glucose,32
