,I_1,I_2
0,1267579.0,1316741.0
1,1356003.0,1250239.0
2,1211081.0,1517972.0
3,1249945.0,1327065.0
4,1329099.0,1544963.0
5,1417848.0,1852669.0
6,1391155.0,1602002.0
7,1450483.9999999998,1446742.0
8,1760752.0,1673774.0
9,1395595.0,1450328.0
10,1514805.0,1291319.0
11,1892758.0,1897734.0
12,1540789.0,1426714.0
13,1882329.0000000002,1617904.9999999998
14,1949038.9999999998,1994324.0
15,1023104.9999999999,1239937.0
16,993064.0,1045120.0
17,1325884.0,1148735.0
18,1372912.0,1303193.0
19,1156621.0,1032700.0
20,1219811.0,1153251.0
21,1111623.0,1154876.0
22,1096111.0,1088391.0
23,914214.0,972259.0
24,846088.0,756608.0
25,1106716.0,1094099.0
26,1645888.0,1636759.0
27,1108373.0,1248767.0
28,1091793.0,1132682.0
29,963031.0,1208968.0
30,1203454.0,2368051.0
31,770612.0,822126.0
32,934918.9999999999,1097544.0
33,1534746.0,1589147.0
34,740474.0,735644.0
35,1438303.0,1693544.0
36,1701112.0,1468401.0
37,1903823.0,1899327.0
38,1176399.0,1164768.0
39,1535142.0,1422696.0
40,1171461.0,987728.0
41,1326635.0,1073861.0
42,1135022.0,998503.0
43,976084.0,970661.0
44,1129549.0,1019840.0
45,1325740.0,1311236.0
46,2152938.0,2489065.0
47,1517333.0,1566921.0
48,1030339.0,1054381.0
49,534525.0,651875.0
50,1834701.0,1775594.0
51,1245034.0,1062327.0
52,1377079.0,1528615.0
53,1327223.0,1353209.0
54,1330994.0,1192268.0
55,1238158.0,1267127.0
56,1197595.0,1346531.0
57,1477210.0,1207497.0
58,1061040.0,1193812.0
59,1471113.0,1579898.0
60,2370005.0,2390330.0
61,1340646.0,1309758.0
62,921154.0,865341.0
63,1789136.9999999998,1732077.0
64,1451003.0,1410890.0
65,892012.0,929332.9999999999
66,1046551.9999999999,1259653.0
67,1063076.0,888371.0
68,995970.0,978588.0
69,1069521.0,1118892.0
70,1116045.0,1007832.0
71,807128.0,896363.0
72,1252170.0,1294584.0
73,1083775.0,855109.0
74,918124.0,1018199.9999999999
75,2417522.0,2803320.0
76,1352750.0,1234765.0
77,1525086.0,1398626.0
78,984020.0,993895.0
79,1379578.0,1400283.0
80,1646336.9999999998,1690231.0
81,1065579.0,1290642.0
82,1712009.0,1688650.0
83,1951632.0,1974569.0
84,1869271.0000000002,1619779.9999999998
85,339966.0,325374.0
86,281845.0,369795.0
87,588867.0,536090.0
88,1649543.0,1787868.0
89,1232830.0,1227580.0
90,1545798.0,1599080.0
91,1292658.0,1257424.0
92,1344940.0,1364036.0
93,1178061.0,1074810.0
94,1560987.0,1671943.0000000002
95,2081756.0,2091321.0
96,2005975.0,1941939.0
97,1977494.0,2004495.0
98,1459701.0,1783644.0
99,2759022.0,2579223.0
100,3360690.0,2469613.0
101,1763327.0,1523419.0
102,1423655.0,1428654.0
103,1354689.0,1433439.0
104,2326295.0,1742999.0
105,1718073.0,1248897.0
106,557515.0,595532.0
107,603243.0,450138.00000000006
108,393363.0,405895.0
109,1141407.0,1004120.0
110,1369230.0,1375372.0
111,1242904.0,1046505.0
112,1005963.0,1084375.0
113,461487.0,459155.0
114,937278.0,815740.0
115,1465290.0,1426811.0
116,348090.0,297350.0
117,985147.0,991916.0
