,parameter,value
0,max df,0.01067332710326217
1,max df std,0.0001539127242009214
2,max df stderr,1.539127242009214e-05
3,time of max df,230.93666666666664
4,time of max df std,15.897707381883716
5,time of max df stderr,1.5897707381883717
6,inverse max df,64.95528565799005
7,inverse max df std,0.9217861868972695
8,inverse max df stderr,0.09217861868972696
9,max y,0.21424237063018947
10,max y std,0.0026579006490375276
11,max y stderr,0.00026579006490375274
12,lag time,181.92285183829415
13,lag time std,0.552912338182799
14,lag time stderr,0.0552912338182799
