parameter,value
max df,0.010895724296616836
max df std,0.0004917227461750422
max df stderr,4.917227461750422e-05
time of max df,129.43666666666664
time of max df std,136.53731028550402
time of max df stderr,13.653731028550402
inverse max df,63.74202774360571
inverse max df std,2.7862211035589746
inverse max df stderr,0.27862211035589746
max y,0.1228735366786392
max y std,0.002588533820292883
max y stderr,0.00025885338202928833
lag time,13.66184739067554
lag time std,8.701643370699758
lag time stderr,0.8701643370699758
doubling time,63.61643904436625
