,parameter,value
0,max df,0.027297400340406317
1,max df std,0.0005299087888947185
2,max df stderr,5.299087888947185e-05
3,time of max df,149.66666666666666
4,time of max df std,3.769615364994153
5,time of max df stderr,0.37696153649941533
6,inverse max df,25.402061612053206
7,inverse max df std,0.4966231982439577
8,inverse max df stderr,0.04966231982439577
9,max y,0.32189179494999803
10,max y std,0.007194749011483985
11,max y stderr,0.0007194749011483985
12,lag time,110.79080513366745
13,lag time std,1.439053111962832
14,lag time stderr,0.1439053111962832
