date,operator,carbon,temp,strain,atc_ngml,iptg_um,mean_fitc,fold_change
20180427,O2,glycerol,37,delta,0.0,5.0,29313.327325428592,1.0
20180427,O2,glycerol,37,dilution,3.0,50.0,17446.758330007993,0.2471126620549769
20180427,O2,glycerol,37,dilution,4.0,75.0,18849.310703201565,0.3698297494559859
20180427,O2,glycerol,37,dilution,10.0,5.0,6168.251623503548,-0.43997528333809033
20180427,O2,glycerol,37,dilution,2.0,10.0,12455.144925274872,0.04347269079712248
20180427,O2,glycerol,37,dilution,2.0,100.0,23763.33725975853,0.6381379901543662
20180427,O2,glycerol,37,dilution,1.0,0.1,8110.395816958124,-0.19557693465857398
20180427,O2,glycerol,37,dilution,10.0,10.0,8546.411082534692,-0.15344122740719646
20180427,O2,glycerol,37,delta,0.0,500.0,31054.96691165463,1.0
20180427,O2,glycerol,37,auto,0.0,75.0,12060.861352283124,0.0
20180427,O2,glycerol,37,dilution,1.0,100.0,29930.273692503775,0.9875019156761977
20180427,O2,glycerol,37,delta,0.0,5000.0,24783.90683391847,1.0
20180427,O2,glycerol,37,dilution,10.0,0.0,4926.115497189394,-0.36482839098677444
20180427,O2,glycerol,37,dilution,4.0,25.0,15856.202236679988,0.2054095281584685
20180427,O2,glycerol,37,dilution,1.0,50.0,26374.31874339995,0.800935341566
20180427,O2,glycerol,37,auto,0.0,25.0,11964.192140344745,0.0
20180427,O2,glycerol,37,delta,0.0,1000.0,30275.361665319895,1.0
20180427,O2,glycerol,37,dilution,2.0,0.1,5835.656829656684,-0.32711813496004716
20180427,O2,glycerol,37,delta,0.0,250.0,30553.59562322932,1.0
20180427,O2,glycerol,37,delta,0.0,10.0,31442.175903486765,1.0
20180427,O2,glycerol,37,delta,0.0,0.0,26355.425131243534,1.0
20180427,O2,glycerol,37,dilution,2.0,5000.0,23685.990389607516,0.9241992058845206
20180427,O2,glycerol,37,dilution,2.0,1000.0,32321.437456485593,1.1069713932286354
20180427,O2,glycerol,37,dilution,4.0,0.0,4856.764401167983,-0.36924534824822797
20180427,O2,glycerol,37,dilution,4.0,0.1,4863.071572602239,-0.383359766559385
20180427,O2,glycerol,37,dilution,1.0,5000.0,26973.47935662025,1.1511693689025586
20180427,O2,glycerol,37,dilution,10.0,250.0,24500.199640231534,0.6966850228979188
20180427,O2,glycerol,37,dilution,1.0,0.0,8632.741185615976,-0.12875415151215355
20180427,O2,glycerol,37,dilution,1.0,1000.0,30395.44488859196,1.006278100621815
20180427,O2,glycerol,37,dilution,7.0,100.0,32942.30111648601,1.1581366767277896
20180427,O2,glycerol,37,auto,0.0,100.0,12498.990447981387,0.0
20180427,O2,glycerol,37,delta,0.0,75.0,30416.467846633972,1.0
20180427,O2,glycerol,37,dilution,10.0,25.0,13531.71278929966,0.08272940432083371
20180427,O2,glycerol,37,dilution,3.0,0.1,5524.617766699174,-0.3451045729252283
20180427,O2,glycerol,37,dilution,7.0,50.0,17297.092578066717,0.23782812250184077
20180427,O2,glycerol,37,dilution,2.0,25.0,23313.769244129486,0.5989992882808212
20180427,O2,glycerol,37,auto,0.0,10.0,11592.213654071487,0.0
20180427,O2,glycerol,37,dilution,10.0,75.0,22668.49010631873,0.5778958465523997
20180427,O2,glycerol,37,delta,0.0,25.0,30911.75572820641,1.0
20180427,O2,glycerol,37,dilution,2.0,75.0,23364.922129708637,0.6158369531894503
20180427,O2,glycerol,37,dilution,3.0,100.0,19139.619350102214,0.376199139796533
20180427,O2,glycerol,37,dilution,4.0,10.0,8050.553164886163,-0.1784215226550192
20180427,O2,glycerol,37,dilution,7.0,0.1,4889.6407121542425,-0.3818233544579711
20180427,O2,glycerol,37,auto,0.0,0.1,11492.503303168907,0.0
20180427,O2,glycerol,37,dilution,4.0,5.0,6240.437826927726,-0.4354842049736249
20180427,O2,glycerol,37,dilution,4.0,100.0,21112.966729716736,0.48799150128410745
20180427,O2,glycerol,37,dilution,1.0,5.0,11246.833558403549,-0.12401034311302604
20180427,O2,glycerol,37,dilution,10.0,500.0,28929.383608066622,0.8875388436784707
20180427,O2,glycerol,37,dilution,4.0,250.0,25526.987870368288,0.7481338706830893
20180427,O2,glycerol,37,dilution,3.0,1000.0,23464.37540927407,0.6439131471981205
20180427,O2,glycerol,37,auto,0.0,500.0,12154.367156918788,0.0
20180427,O2,glycerol,37,dilution,3.0,10.0,8613.048082531202,-0.15008419331518086
20180427,O2,glycerol,37,dilution,7.0,500.0,22554.777065606497,0.5502687768456513
20180427,O2,glycerol,37,dilution,2.0,5.0,8397.27905981354,-0.3012959177786209
20180427,O2,glycerol,37,dilution,3.0,5000.0,21244.433140484474,0.7556326639396265
20180427,O2,glycerol,37,dilution,7.0,5.0,6186.052536657552,-0.43886779614328797
20180427,O2,glycerol,37,dilution,10.0,0.1,4976.163134380157,-0.37682002733511316
20180427,O2,glycerol,37,dilution,3.0,250.0,24495.47274628146,0.6964481744025852
20180427,O2,glycerol,37,dilution,10.0,50.0,19641.40331600776,0.3832578249483663
20180427,O2,glycerol,37,dilution,7.0,25.0,12841.892311456972,0.04632258744203427
20180427,O2,glycerol,37,dilution,2.0,50.0,28469.218089253303,0.9308927672571228
20180427,O2,glycerol,37,dilution,7.0,5000.0,18140.49516122907,0.5413349685804715
20180427,O2,glycerol,37,dilution,3.0,500.0,25243.626626181795,0.6925314349341368
20180427,O2,glycerol,37,delta,0.0,50.0,29583.21904685059,1.0
20180427,O2,glycerol,37,dilution,7.0,1000.0,21718.393008645384,0.5526310105566813
20180427,O2,glycerol,37,dilution,1.0,10.0,15279.410570815562,0.18575334655121012
20180427,O2,glycerol,37,dilution,7.0,75.0,17948.13922405676,0.3207345872001295
20180427,O2,glycerol,37,dilution,10.0,100.0,21415.357282875717,0.5051222682126245
20180427,O2,glycerol,37,dilution,2.0,0.0,5577.300599121591,-0.32335454371489014
20180427,O2,glycerol,37,dilution,10.0,5000.0,21452.992087938965,0.7700316957774823
20180427,O2,glycerol,37,auto,0.0,250.0,10596.137403286217,0.0
20180427,O2,glycerol,37,dilution,4.0,500.0,24264.304857703533,0.6407171125747166
20180427,O2,glycerol,37,dilution,7.0,250.0,22494.15337389391,0.5961689028474696
20180427,O2,glycerol,37,dilution,7.0,0.0,4902.539832168336,-0.3663299203177054
20180427,O2,glycerol,37,dilution,10.0,1000.0,26603.817123249017,0.8080470739832395
20180427,O2,glycerol,37,auto,0.0,5.0,13240.08220119903,0.0
20180427,O2,glycerol,37,dilution,3.0,25.0,14167.616458919398,0.11629064118756816
20180427,O2,glycerol,37,dilution,3.0,5.0,6902.609050222283,-0.39428709647582877
20180427,O2,glycerol,37,delta,0.0,100.0,30150.88860413455,1.0
20180427,O2,glycerol,37,dilution,7.0,10.0,7867.9881079579045,-0.18761877223334705
20180427,O2,glycerol,37,dilution,4.0,5000.0,18939.979385120823,0.5965318274742515
20180427,O2,glycerol,37,dilution,1.0,75.0,28959.6809733412,0.9206353179481642
20180427,O2,glycerol,37,dilution,2.0,500.0,31482.984378763424,1.0226457082136533
20180427,O2,glycerol,37,dilution,4.0,1000.0,21656.910735659232,0.5494166406743003
20180427,O2,glycerol,37,dilution,1.0,250.0,30417.210029081536,0.9931661841580861
20180427,O2,glycerol,37,dilution,4.0,50.0,20059.588454939247,0.4092000088654092
20180427,O2,glycerol,37,auto,0.0,5000.0,10299.672768529585,0.0
20180427,O2,glycerol,37,dilution,1.0,25.0,21806.68070174181,0.5194593233983095
20180427,O2,glycerol,37,dilution,3.0,0.0,5640.819903749309,-0.3193090120663167
20180427,O2,glycerol,37,auto,0.0,1000.0,11148.044263811284,0.0
20180427,O2,glycerol,37,auto,0.0,50.0,13463.329516009764,0.0
20180427,O2,glycerol,37,delta,0.0,0.1,28785.480576358386,1.0
20180427,O2,glycerol,37,dilution,2.0,250.0,28438.261959994685,0.8940078621274116
20180427,O2,glycerol,37,dilution,1.0,500.0,31684.52393363085,1.0333088383514644
20180427,O2,glycerol,37,auto,0.0,0.0,10654.323237722185,0.0
20180427,O2,glycerol,37,dilution,3.0,75.0,18528.42509403617,0.3523481364532148
