,parameter,value
0,max df,0.006589137058954919
1,max df std,3.45356679576391e-05
2,max df stderr,3.4535667957639096e-06
3,time of max df,633.9266666666666
4,time of max df std,5.411321465224552
5,time of max df stderr,0.5411321465224552
6,inverse max df,105.19832968819468
7,inverse max df std,0.5510998139529671
8,inverse max df stderr,0.055109981395296714
9,max y,0.1506596177744111
10,max y std,0.0010233748474771528
11,max y stderr,0.00010233748474771528
12,lag time,440.41637099412554
13,lag time std,1.7540145643981766
14,lag time stderr,0.17540145643981767
