,parameter,value
0,max df,0.01034561417449241
1,max df std,0.00016944986978173756
2,max df stderr,1.6944986978173756e-05
3,time of max df,230.93666666666672
4,time of max df std,52.03496036320198
5,time of max df stderr,5.203496036320198
6,inverse max df,67.01647185280284
7,inverse max df std,1.058972965202553
8,inverse max df stderr,0.1058972965202553
9,max y,0.18097293526611832
10,max y std,0.001614508318152763
11,max y stderr,0.0001614508318152763
12,lag time,154.7668659064983
13,lag time std,1.3645473974486548
14,lag time stderr,0.1364547397448655
