parameter,value
max df,0.006738683647405284
max df std,0.00010109761161669547
max df stderr,1.0109761161669546e-05
time of max df,618.5266666666666
time of max df std,7.8249856229899875
time of max df stderr,0.7824985622989987
inverse max df,102.88419769491648
inverse max df std,1.552168221119469
inverse max df stderr,0.1552168221119469
max y,0.177556147456508
max y std,0.004409734199392209
max y stderr,0.00044097341993922087
lag time,212.66291080322597
lag time std,7.030688891471298
lag time stderr,0.7030688891471298
doubling time,102.86091718029235
