parameter,value
max df,0.006380907798328443
max df std,0.00016572435045409864
max df stderr,1.6572435045409863e-05
time of max df,637.7066666666666
time of max df std,28.184541862517474
time of max df stderr,2.8184541862517474
inverse max df,108.70171728190962
inverse max df std,2.828854429183589
inverse max df stderr,0.2828854429183589
max y,0.18229936486957193
max y std,0.007384991968394316
max y stderr,0.0007384991968394316
lag time,214.37757313340825
lag time std,13.393403602791558
lag time stderr,1.3393403602791558
doubling time,108.62830218946647
