parameter,value
max df,0.00998772586337116
max df std,7.411281502764509e-05
max df stderr,7.411281502764509e-06
time of max df,157.85666666666665
time of max df std,10.891919022835232
time of max df stderr,1.0891919022835233
inverse max df,69.40372729291232
inverse max df std,0.5157445955262402
inverse max df stderr,0.05157445955262402
max y,0.1816377024562759
max y std,0.003005902550126216
max y stderr,0.0003005902550126216
lag time,12.723064077387681
lag time std,2.092644678248452
lag time stderr,0.2092644678248452
doubling time,69.39990044199982
