parameter,value
max df,0.0032288319904211415
max df std,2.5518299047038257e-05
max df stderr,2.551829904703826e-06
time of max df,1066.5966666666668
time of max df std,14.294233102898525
time of max df stderr,1.4294233102898526
inverse max df,214.687711592621
inverse max df std,1.6997042874781292
inverse max df stderr,0.16997042874781293
max y,0.10438226828649348
max y std,0.0008136785226171546
max y stderr,8.136785226171546e-05
lag time,705.9614945993443
lag time std,4.030866800912075
lag time stderr,0.4030866800912075
doubling time,214.6742793109954
