parameter,value
max df,0.011600399484806739
max df std,0.0001541650527852615
max df stderr,1.5416505278526152e-05
time of max df,224.21666666666673
time of max df std,7.164321321660551
time of max df stderr,0.7164321321660551
inverse max df,59.762595368452786
inverse max df std,0.796683715372808
inverse max df stderr,0.0796683715372808
max y,0.155283556545747
max y std,0.0038951447392627774
max y stderr,0.00038951447392627776
lag time,42.714708801707175
lag time std,3.7634476674891233
lag time stderr,0.3763447667489123
doubling time,59.75200952930743
