parameter,value
max df,0.01067312024655379
max df std,0.0001231490841771605
max df stderr,1.231490841771605e-05
time of max df,176.2666666666667
time of max df std,16.008435276440977
time of max df stderr,1.6008435276440978
inverse max df,64.95189987503541
inverse max df std,0.7492075842046446
inverse max df stderr,0.07492075842046446
max y,0.13383668983864377
max y std,0.0037062205423224266
max y stderr,0.00037062205423224264
lag time,15.824159898462694
lag time std,3.4143767017344064
lag time stderr,0.3414376701734406
doubling time,64.94325600648538
