clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date
09h46m,13,0.1,1,acetate,37,O2,20181001
09h46m,13,0.1,1,acetate,37,O2,20181001
09h46m,13,0.1,1,acetate,37,O2,20181001
12h36m,183,0.09,1,acetate,37,O2,20181001
12h36m,183,0.09,1,acetate,37,O2,20181001
12h36m,183,0.09,1,acetate,37,O2,20181001
15h22m,349,0.11,1,acetate,37,O2,20181001
15h22m,349,0.11,1,acetate,37,O2,20181001
15h22m,349,0.12,1,acetate,37,O2,20181001
17h17m,464,0.13,1,acetate,37,O2,20181001
17h17m,464,0.13,1,acetate,37,O2,20181001
17h17m,464,0.13,1,acetate,37,O2,20181001
00h41m,908,0.19,1,acetate,37,O2,20181002
00h41m,908,0.19,1,acetate,37,O2,20181002
00h41m,908,0.2,1,acetate,37,O2,20181002
12h00m,1587,0.3,1,acetate,37,O2,20181002
12h00m,1587,0.3,1,acetate,37,O2,20181002
12h00m,1587,0.31,1,acetate,37,O2,20181002
15h03m,1770,0.3,1,acetate,37,O2,20181002
15h03m,1770,0.3,1,acetate,37,O2,20181002
15h03m,1770,0.31,1,acetate,37,O2,20181002
17h31m,1918,0.31,1,acetate,37,O2,20181002
17h31m,1918,0.31,1,acetate,37,O2,20181002
17h31m,1918,0.31,1,acetate,37,O2,20181002
11h41m,3008,0.52,1,acetate,37,O2,20181002
11h41m,3008,0.52,1,acetate,37,O2,20181002
11h41m,3008,0.52,1,acetate,37,O2,20181002
14h42m,3189,0.54,1,acetate,37,O2,20181002
14h42m,3189,0.54,1,acetate,37,O2,20181002
14h42m,3189,0.54,1,acetate,37,O2,20181002
