clock_time,elapsed_time_min,OD_600,run_number,carbon,temperature,operator,date,,,,,
09h21m,31,0.02,1,glycerol,37,O2,20180924,,,,,
09h21m,31,0.02,1,glycerol,37,O2,20180924,,,,,
09h21m,31,0.03,1,glycerol,37,O2,20180924,,,,,
10h21m,91,0.07,1,glycerol,37,O2,20180924,,,,,
10h21m,91,0.07,1,glycerol,37,O2,20180924,,,,,
10h21m,91,0.07,1,glycerol,37,O2,20180924,,,,,
10h49m,119,0.1,1,glycerol,37,O2,20180924,,,,,
10h49m,119,0.11,1,glycerol,37,O2,20180924,,,,,
10h49m,119,0.1,1,glycerol,37,O2,20180924,,,,,
11h20m,150,0.14,1,glycerol,37,O2,20180924,,,,,
11h20m,150,0.14,1,glycerol,37,O2,20180924,,,,,
11h20m,150,0.14,1,glycerol,37,O2,20180924,,,,,
11h50m,180,0.18,1,glycerol,37,O2,20180924,,,,,
11h50m,180,0.18,1,glycerol,37,O2,20180924,,,,,
11h50m,180,0.19,1,glycerol,37,O2,20180924,,,,,
12h24m,214,0.23,1,glycerol,37,O2,20180924,,,,,
12h24m,215,0.24,1,glycerol,37,O2,20180924,,,,,
12h24m,214,0.25,1,glycerol,37,O2,20180924,,,,,   
12h53m,243,0.28,1,glycerol,37,O2,20180924,,,,,
12h53m,243,0.29,1,glycerol,37,O2,20180924,,,,,
12h53m,243,0.3,1,glycerol,37,O2,20180924,,,,,
13h19m,269,0.33,1,glycerol,37,O2,20180924,,,,,
13h19m,269,0.34,1,glycerol,37,O2,20180924,,,,,
13h19m,269,0.35,1,glycerol,37,O2,20180924,,,,,
13h53m,303,0.43,1,glycerol,37,O2,20180924,,,,,
13h53m,303,0.42,1,glycerol,37,O2,20180924,,,,,
13h53m,303,0.43,1,glycerol,37,O2,20180924,,,,,
14h20m,330,0.49,1,glycerol,37,O2,20180924,,,,,
14h20m,330,0.49,1,glycerol,37,O2,20180924,,,,,
14h20m,330,0.49,1,glycerol,37,O2,20180924,,,,,
14h53m,363,0.59,1,glycerol,37,O2,20180924,,,,,
14h53m,363,0.59,1,glycerol,37,O2,20180924,,,,,
14h53m,363,0.59,1,glycerol,37,O2,20180924,,,,,
15h20m,390,0.65,1,glycerol,37,O2,20180924,,,,,
15h20m,390,0.65,1,glycerol,37,O2,20180924,,,,,
15h20m,390,0.65,1,glycerol,37,O2,20180924,,,,,
15h50m,420,0.73,1,glycerol,37,O2,20180924,,,,,
15h50m,420,0.73,1,glycerol,37,O2,20180924,,,,,
15h50m,420,0.73,1,glycerol,37,O2,20180924,,,,,
16h20m,450,0.8,1,glycerol,37,O2,20180924,,,,,
16h20m,450,0.8,1,glycerol,37,O2,20180924,,,,,
16h20m,450,0.8,1,glycerol,37,O2,20180924,,,,,
16h50m,480,0.88,1,glycerol,37,O2,20180924,,,,,
16h50m,480,0.88,1,glycerol,37,O2,20180924,,,,,
16h50m,480,0.88,1,glycerol,37,O2,20180924,,,,,
17h22m,512,0.98,1,glycerol,37,O2,20180924,,,,,
17h22m,512,0.98,1,glycerol,37,O2,20180924,,,,,
17h22m,512,0.98,1,glycerol,37,O2,20180924,,,,,
17h49m,539,1.01,1,glycerol,37,O2,20180924,,,,,
17h49m,539,1.01,1,glycerol,37,O2,20180924,,,,,
17h49m,539,1.01,1,glycerol,37,O2,20180924,,,,,
18h18m,568,1.07,1,glycerol,37,O2,20180924,,,,,
18h18m,568,1.07,1,glycerol,37,O2,20180924,,,,,
18h18m,568,1.07,1,glycerol,37,O2,20180924,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,        
