parameter,value
max df,0.010365250449992158
max df std,6.413655250492028e-05
max df stderr,6.413655250492028e-06
time of max df,179.34666666666672
time of max df std,37.46955564188078
time of max df stderr,3.7469555641880783
inverse max df,66.8747630698155
inverse max df std,0.41300877938769426
inverse max df stderr,0.04130087793876942
max y,0.12963656855253575
max y std,0.0023933802984581897
max y stderr,0.00023933802984581898
lag time,9.707335764118177
lag time std,1.7889201906174177
lag time stderr,0.17889201906174176
doubling time,66.87220766194508
