,area_death,fluor1_mean_death,fluor2_mean_death,long_axis_death,short_axis_death,fluor1_bg_death,fluor2_bg_death,error_frame,strain,atc_conc_ngml,position,aspect_ratio,err,fluor1_sub,fluor2_sub
0,266.0,104.83458646616542,113.97744360902256,27.0,9.820060203790069,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3637059334737063,True,56.57352502602967,2488.5735250260286
1,560.0,98.30535714285715,114.93928571428572,51.0,10.981508758356437,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.21532370114424387,True,-3537.266263103096,5777.733736896903
2,818.0,96.40464547677261,116.22493887530563,66.0,12.378639162824463,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.18755513883067368,True,-6721.717505747028,9491.282494252975
3,577.0,107.88041594454073,114.99133448873484,49.0,11.771896753756366,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.24024279089298706,True,1880.1613681955582,5983.161368195558
4,321.0,96.31152647975078,115.79127725856698,33.0,9.700188958656376,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.29394511995928413,True,-2667.631197243025,3585.368802756974
5,284.0,96.05281690140845,116.04577464788733,30.0,9.426621674481419,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.314220722482714,True,-2433.620747716572,3244.3792522834297
6,353.0,95.81019830028329,116.89235127478753,29.0,12.141715108477063,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.4186798313267953,True,-3110.532126563202,4331.467873436794
7,406.0,99.86453201970443,116.3152709359606,36.0,11.246710914427444,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.31240863651187345,True,-1931.493040749749,4747.506959250256
8,314.0,114.25796178343948,114.13375796178345,30.0,10.443753748026632,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.34812512493422104,True,3025.7221310457608,2986.7221310457644
9,340.0,114.77941176470588,114.36176470588235,32.0,10.51487762485491,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3285899257767159,True,3453.5526259731196,3311.552625973118
10,446.0,101.30717488789237,115.68609865470852,41.0,10.834783258109816,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.26426300629536137,True,-1478.3692023999695,4934.630797600031
11,373.0,101.92493297587131,115.49329758713137,36.0,10.359213347741505,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.28775592632615293,True,-1005.9702073883135,4055.0297926116855
12,360.0,103.875,115.31944444444444,31.0,11.604828490573412,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3743493061475294,True,-268.8854548519919,3851.1145451480074
13,458.0,98.79257641921397,115.69868995633188,41.0,11.166892641392057,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.2723632351559038,True,-2669.8320508950346,5073.167949104965
14,432.0,97.98611111111111,115.57870370370371,36.0,11.991721772171433,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3331033825603176,True,-2866.662545822389,4733.337454177612
15,495.0,108.68888888888888,115.20202020202021,45.0,11.006394339004165,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.24458654086675924,True,2013.1574995785081,5237.157499578514
16,464.0,98.95474137931035,116.64008620689656,36.0,12.881587654438249,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.35782187928995135,True,-2629.5634751425655,5576.436524857434
17,440.0,98.82272727272728,116.09772727272727,36.0,12.224404815168365,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.33956680042134346,True,-2551.6377781524325,5049.362221847564
18,430.0,101.5046511627907,116.44883720930233,43.0,9.980306663708921,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.2321001549699749,True,-1340.418737739881,5085.581262260121
19,267.0,100.20224719101124,116.37453183520599,27.0,9.858320897714089,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3651229962116329,True,-1180.0483790152266,3137.9516209847707
20,263.0,101.06463878326996,116.42585551330798,27.0,9.698729030089613,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.35921218629961527,True,-935.5607628502067,3104.4392371497934
21,529.0,114.05103969754254,115.20982986767486,43.0,12.286715241188253,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.285737563748564,True,4988.012762175824,5601.012762175822
22,581.0,102.42340791738383,116.49913941480206,47.0,12.342644986350406,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.26260946779468947,True,-1277.3262479694613,6900.673752030531
23,485.0,101.03298969072165,116.0721649484536,43.0,11.28290489520946,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.2623931370978944,True,-1740.6234600089335,5553.376539991064
24,509.0,117.31827111984283,114.20432220039292,44.0,11.295597375633777,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.25671812217349493,True,6462.450843000936,4877.450843000932
25,542.0,103.61439114391143,116.03136531365314,44.0,12.301968467378982,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.27959019244043143,True,-546.071990360502,6183.928009639503
26,614.0,100.56351791530945,115.90879478827361,56.0,10.964103892967177,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.19578756951727103,True,-2491.8490813308968,6930.150918669099
27,700.0,101.17142857142858,116.04,58.0,12.065810126855755,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.20803120908371991,True,-2415.3328288788684,7992.667171121131
28,383.0,108.84073107049609,115.14882506527415,33.0,11.603768923512737,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3516293613185678,True,1615.8107521991335,4031.8107521991315
29,408.0,102.35049019607843,115.58823529411765,33.0,12.120191023292428,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3672785158573463,True,-926.73684883226,4474.263151167745
31,420.0,101.73095238095237,116.2452380952381,39.0,10.760029267144438,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.27589818633703683,True,-1214.1996973273267,4881.800302672676
32,398.0,102.38442211055276,116.52261306532664,38.0,10.472747804658034,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.27559862643836935,True,-890.5178084197028,4736.4821915802995
33,323.0,102.36532507739938,116.26934984520123,31.0,10.419301462496964,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.33610649879022464,True,-728.8750053255387,3762.124994674461
34,311.0,101.32475884244373,116.35691318327974,30.0,10.35826624199144,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.34527554139971467,True,-1025.4121568304713,3649.5878431695296
35,465.0,118.91182795698924,114.53548387096774,38.0,12.176072141567385,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.3204229510938785,True,6644.814620816175,4609.814620816175
36,612.0,104.5702614379085,116.02287581699346,52.0,11.768793949841582,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.22632296057387657,True,-31.60527324838472,6977.394726751612
37,500.0,113.052,115.318,41.0,12.171902298680887,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.29687566582148506,True,4215.047979372237,5348.0479793722325
39,427.0,106.68384074941451,115.90866510538642,38.0,11.235614138247168,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.2956740562696623,True,880.446974383885,4819.446974383888
40,440.0,106.22272727272727,115.56136363636364,39.0,11.272710041416195,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.28904384721579984,True,704.3622218475639,4813.362221847566
41,454.0,109.02643171806167,114.59030837004406,40.0,10.938018887852367,104.62190404125553,114.02452952278439,,autofluorescence,0.0,4,0.2734504721963092,True,1999.6555652699876,4525.65556526999
