,parameter,value
0,max df,0.0032644115045813854
1,max df std,2.9620917498451523e-05
2,max df stderr,2.962091749845152e-06
3,time of max df,1056.5866666666668
4,time of max df std,9.485968585231559
5,time of max df stderr,0.9485968585231559
6,inverse max df,212.35199333455014
7,inverse max df std,1.928165218541315
8,inverse max df stderr,0.1928165218541315
9,max y,0.10378795168286482
10,max y std,0.0006698064674076279
11,max y stderr,6.698064674076279e-05
12,lag time,826.955727625141
13,lag time std,3.5379348870559215
14,lag time stderr,0.35379348870559213
