I_1,I_2,summed,fluct
1057732.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
971646.0,776502.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,799587.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,1271064.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
0.0,0.0,,
650110.0,547152.0,,
0.0,0.0,,
0.0,0.0,,
619168.0,600886.0,,
925571.0000000001,1040911.0,,
559800.0,661842.0,,
408502.0,400739.0,,
696906.0,711226.0,,
442142.0,457675.0,,
503517.99999999994,576560.0,,
1253927.0,1206628.0,,
1243076.0,1214282.0,,
0.0,688487.0,,
625198.9999999999,634592.0,,
572540.0,657891.0,,
506928.99999999994,420628.0,,
432952.0,414694.0,,
794558.0,811408.0,,
363283.0,300761.0,,
0.0,730505.0,,
1216564.0,0.0,,
613010.0,519429.99999999994,,
630403.0,647156.0,,
892392.0,913543.0,,
654065.0,661495.0,,
599308.0,717126.0,,
412354.0,519604.0,,
892256.0,857263.0,,
0.0,0.0,,
1357139.0,1364986.0,,
681704.0,710694.0,,
783125.0,814461.0,,
724618.0000000001,692053.0,,
241167.99999999997,606228.0,,
671690.0,699317.0,,
955228.0,991335.9999999999,,
1169599.0,1048192.9999999999,,
1665093.0,1733525.0,,
882203.9999999999,912451.0,,
0.0,0.0,,
777853.0,769419.0,,
703963.0,671232.0,,
990862.9999999999,848496.0,,
1196757.0,1159843.0,,
1015707.9999999999,656786.0,,
462892.99999999994,445835.00000000006,,
687416.0,567062.9999999999,,
750492.0,844510.0000000001,,
757069.0,678026.0,,
0.0,0.0,,
0.0,729864.0,,
763932.0,699312.0,,
920060.0,742996.0,,
