I_1,I_2
1545835.0,123622.0
718563.9999999999,723157.9999999999
762393.0,704637.0
853923.0000000001,780803.0
1373284.0,1315427.0
1205097.0,1275327.0
871629.0,886498.0
890835.0,756774.0
728787.0,886620.0
1424673.0,1280946.0
1092889.0,1028276.0
1153298.0,1527383.0
850469.0,830160.0
785136.0,747380.0
1112251.0,1005281.0
719519.0,636893.0
1081319.0,882170.0
992038.0,915622.0
1244991.0,1193879.0
783747.0000000001,778297.0
764501.0000000001,742053.0
642738.0,719528.0
1030133.9999999999,854143.0
659893.0,751160.0
753910.0,721038.0
567338.0,611800.0
667761.0,614764.0
631659.0,513680.0
952482.0,935510.0
1029403.0,1395955.0
701072.0,693910.0
969802.0000000001,739675.0
988767.0000000001,911518.0
871955.0,922167.0
1063439.0,1104898.0
824413.0,664868.0
754215.0,634184.0
757664.9999999999,666473.0
562053.0,502398.0
1061522.0,1087295.0
748480.0,538979.0
557935.0,551618.0
567216.0,540694.0
560049.0,582344.0
543729.0,620757.0
1146179.0,1417953.0000000002
436120.0,473794.0
695516.0,640596.0
751438.0,733802.0
625563.0,516288.0
1107067.0,1132651.0
1397328.0,863702.0
636872.0,903996.0
894161.0,922567.0
1090919.0,1132854.0
1476675.0,1655076.0
1416832.0,1382408.0
616024.0,644888.0
692671.0,688963.0
963643.0,1050420.0
1365795.9999999998,1373471.0
1175473.0,1172610.0
1187130.0,1121372.0
1292304.0,899136.0
796465.0,670825.0
1015138.0,917205.0
1208652.0,1529668.9999999998
894471.0,971129.0
931664.0,1008687.9999999999
1215909.0,1423992.0
1101129.0,1241534.0
969498.0,903321.9999999999
844076.0,865571.0
1071162.0,1125478.0
1358073.0,1205621.0
1031846.0,825124.0
852335.0,904954.0
1641311.0,1320599.0
816426.0,839714.0
905267.0,912855.0
1013162.0,1056076.0
1048882.0,891855.0
1055448.0,867295.0
770315.0,931482.0
1031053.0000000001,926403.9999999999
928529.0,1083451.0
944943.9999999999,722848.0
903608.0,797165.0
579554.0,847756.0
1076815.0,1078064.0
1724930.0,1736421.0
1236176.0,1305207.9999999998
1249876.0,1189318.0
1683488.0,988292.0
896311.0,853128.0
893199.0,864963.0
1374460.9999999998,1360139.0
798992.0,899534.0
973647.0,946219.0000000001
840594.0,846048.0
1135473.0,1085062.0
950221.0,1017813.9999999999
595185.0,473693.0
1124952.0,1156106.0
991212.0,990049.0
1028979.0000000001,930753.0
665069.0,738962.0000000001
707569.0,671884.0
804843.0,828522.9999999999
971928.0,822433.0000000001
921181.0,969642.0
913770.0,737010.0
2846274.0,44411.0
1185499.0,1258644.0
1040985.0,1059152.0
1546353.0,1812419.0000000002
1182604.0,1194577.0
1837482.0,1612243.0
1103069.0,1232682.0
1066541.0,1098398.0
932594.9999999999,1138435.0
1101353.0,1192032.0
1314664.0,1231700.0
1330724.0,1640169.0
930259.0,843025.0
859195.0000000001,786772.0
926671.0,831815.0
947290.0,847745.0
881124.0,918363.0
1142466.0,1088773.0
805957.0,873902.0
928951.0,835500.0
908825.0,887224.0
820441.0,900774.0
785277.0,703930.0
723561.0,643365.0
422520.0,260405.0
1522629.0,1626647.0
1289491.0,1647248.0
2116101.0,1929013.0
1795839.0000000002,2169125.0
1240622.0,1103185.0
1557444.0,1635950.0
1325465.0,1158015.0
1337814.0,1191687.0
1221808.0,1243225.0
1627771.0,1533545.0
859701.0,944859.0
835360.0,873863.0
990175.0,1072270.0
1341603.0,1479922.0
914388.0,905024.0000000001
1146889.0,1946446.0
1598325.0,1012208.0
1384887.0,1376516.0
870102.0,820203.0
1332886.0,1231425.0
1222765.0,1316419.0
1114453.0,929319.0
834976.9999999999,889121.9999999999
889546.0000000001,953620.0
1432199.0,1685512.0
1824941.0,1711162.0
1893096.0000000002,2104759.0
919011.0,961190.0000000001
916489.0,813503.0
1185282.0,1198932.0
1368750.0,1235556.0
1003203.0,1293196.0
1258212.0,882063.0
862309.0,869338.0
769126.0,909438.9999999999
1043131.9999999999,946680.0
1011751.9999999999,982265.0
1491706.0,1301585.0
959406.0000000001,972667.0
787332.0,742291.0
881018.0,732902.0
814766.0,785364.0
1638215.0,1573618.0
777819.0,775967.0
556965.0,711606.0
1141389.0,1273623.0
2673110.0,2588079.0
1138494.0,1226592.0
1411609.0,1273889.0
981343.0,877538.0
2084444.0,2221602.0
830160.0,965112.0
752325.0,805217.0
945080.0,992550.0
925529.0,891995.0
861041.0,841768.0
1071261.0,1071805.0
1030559.0,1145875.0
1732464.0,1849048.0
1111040.0,1085451.0
1421720.0,1329171.0
1208559.0,1259922.0
1396930.0,1383388.0
1462767.0,1445804.0
1415743.0,1570329.0
1545055.0,1489682.0
