I_1,I_2
1344131.0,1332782.0
1163323.0,991994.0
1081929.0,919674.0
1663567.0,2248981.0
1153449.0,1055575.0
1183525.0,1269329.0
728080.0,759028.0
779182.0,872672.0
1023973.9999999999,1193448.0
1417524.0,1310873.0
1361524.0,1422165.0
1193601.0,1271226.0
1767416.0,1764606.0
715459.0,774219.0
740244.0,768422.9999999999
1082127.0,962862.0
1112879.0,1082508.0
1862101.0,1756484.0
1848276.0,1931306.0
1056081.0,1239636.0
1097197.0,1057581.0
1338162.0,1095012.0
1186744.0,1282403.0
988363.9999999999,1121699.0
1141479.0,1148603.0
1556553.0,1372264.0
2094198.0,2155119.0
1388830.0,1265254.0
1385858.9999999998,1247433.0
1016347.0,972753.0
1300986.0,1283528.0
1046651.0000000001,1094515.0
1353339.0,1244379.0
993545.0,1014135.0
1205763.0,1266672.0
1104220.0,1137944.0
1123546.0,1153705.0
881753.9999999999,173980.0
1729653.0,1585987.0
904085.0,956868.0
695478.0,736204.0
1437505.0,1270810.0
1840342.0,1803501.0
822323.0,983523.0
1381573.0,1738590.0
1055311.0,940820.0
962445.0,1202978.0
1156808.0,1157036.0
976903.0,1011894.0
1380461.0,1202755.0
1189019.0,1285986.0
1367632.0,1147168.0
985460.0,1092792.0
1207871.0,1252294.0
762550.0,805442.0
1016231.9999999999,957754.0
931309.9999999999,813263.9999999999
825409.0,742038.9999999999
941214.9999999999,1074627.0
709378.9999999999,610379.0
745055.0,826790.0000000001
1037812.0000000001,746265.0
617065.0,679455.0
725867.0,539253.0
950702.0,865088.0
900097.0,1004100.0
538315.0,615224.0
682892.0,687399.0000000001
933164.0,924307.0
484357.0,531520.0
631518.0,560722.0
1180370.0,1030048.0
1109181.0,1484734.0
943410.0,965661.0
746495.0,734447.0
1150929.0,1234977.0
949860.0,1090513.0
870180.0,1042239.9999999999
