,parameter,value
0,max df,0.011658481163298085
1,max df std,0.0001562773096418585
2,max df stderr,1.5627730964185852e-05
3,time of max df,863.9466666666664
4,time of max df std,8.36609825426405
5,time of max df stderr,0.836609825426405
6,inverse max df,59.46501103205959
7,inverse max df std,0.7969767265823345
8,inverse max df stderr,0.07969767265823345
9,max y,0.17698291271134628
10,max y std,0.003974125335166893
11,max y stderr,0.00039741253351668925
12,lag time,724.2037814317572
13,lag time std,3.0464339575421118
14,lag time stderr,0.3046433957542112
