,area_death,fluor1_mean_death,fluor2_mean_death,long_axis_death,short_axis_death,fluor1_bg_death,fluor2_bg_death,error_frame,strain,atc_conc_ngml,position,aspect_ratio,err
0,62.0,464.56451612903226,135.59677419354838,12.0,5.127082160479186,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.42725684670659886,True
2,50.0,344.54,218.36,13.0,3.8177359782321876,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2936719983255529,True
3,65.0,302.6461538461538,125.33846153846154,13.0,4.993460800839983,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3841123692953833,True
8,53.0,302.8490566037736,126.64150943396227,12.0,3.9585240899886003,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.32987700749905,True
9,123.0,402.4227642276423,126.76422764227642,27.0,4.5183473661963225,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.16734619874801193,True
10,105.0,301.0285714285714,129.53333333333333,19.0,5.507726350515725,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.28988033423766973,True
11,83.0,328.3975903614458,120.855421686747,20.0,4.158874206771782,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2079437103385891,True
12,83.0,240.48192771084337,118.07228915662651,14.0,5.88183217309839,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4201308695070279,True
13,96.0,284.1041666666667,168.51041666666666,20.0,4.749178087123511,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.23745890435617553,True
14,105.0,313.35238095238094,525.3904761904762,20.0,5.233374166409118,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2616687083204559,True
15,59.0,297.864406779661,127.84745762711864,12.0,4.77133899954985,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39761158329582086,True
16,74.0,211.83783783783784,134.56756756756758,14.0,5.15725149309633,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3683751066497378,True
17,68.0,346.72058823529414,120.07352941176471,16.0,4.247943589188287,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.26549647432426793,True
18,80.0,333.9625,120.025,14.0,5.486474330137929,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39189102358128064,True
19,118.0,268.90677966101697,120.88135593220339,21.0,5.558852724704526,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2647072726049774,True
20,101.0,331.6732673267327,130.64356435643563,20.0,5.0178161336593545,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2508908066829677,True
22,56.0,371.4107142857143,122.89285714285714,11.0,4.928408805132929,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4480371641029936,True
23,58.0,234.31034482758622,133.25862068965517,12.0,4.764775010738066,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39706458422817215,True
24,77.0,319.6363636363636,127.62337662337663,17.0,4.536707023168955,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2668651190099385,True
25,65.0,292.7846153846154,121.66153846153846,14.0,4.616271441831302,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3297336744165215,True
26,69.0,265.4347826086956,118.55072463768116,13.0,5.318367911058013,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4091052239275395,True
27,68.0,338.69117647058823,120.05882352941177,13.0,5.188530436921549,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3991177259170422,True
28,104.0,399.24038461538464,117.375,23.0,4.4966208608716345,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.19550525482050585,True
29,63.0,337.95238095238096,126.0952380952381,12.0,5.171555397547948,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.43096294979566235,True
30,124.0,396.7096774193548,129.6209677419355,23.0,5.340936010996993,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.23221460917378228,True
32,61.0,390.72131147540983,119.08196721311475,12.0,5.0274487851138225,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4189540654261519,True
33,75.0,338.6933333333333,127.28,15.0,5.0013444693723805,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.33342296462482535,True
34,72.0,403.1388888888889,129.65277777777777,14.0,5.096697988641052,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3640498563315037,True
35,87.0,493.3333333333333,119.0,18.0,4.8118181196809395,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.26732322887116333,True
36,58.0,291.7413793103448,119.17241379310344,13.0,4.440880334755917,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.341606179596609,True
37,115.0,217.7913043478261,132.58260869565217,21.0,5.461473195620338,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.26007015217239704,True
38,75.0,440.6533333333333,119.53333333333333,16.0,4.6695586002615395,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2918474125163462,True
39,63.0,468.93650793650795,119.25396825396825,14.0,4.498868587372783,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3213477562409131,True
40,98.0,409.0612244897959,120.4795918367347,19.0,5.134274950752272,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2702249974080143,True
41,100.0,283.78,115.3,18.0,5.5506465591958545,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3083692532886586,True
44,128.0,401.5,120.671875,24.0,5.326889703415233,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2219537376423014,True
45,67.0,437.5223880597015,117.34328358208955,13.0,5.163510341763526,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39719310321257895,True
46,71.0,400.84507042253523,114.19718309859155,14.0,5.069795432470378,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.36212824517645553,True
47,70.0,416.35714285714283,120.84285714285714,13.0,5.347509458152241,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.41134688139632625,True
48,62.0,479.80645161290323,119.08064516129032,12.0,5.068077029598673,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.42233975246655603,True
49,133.0,361.2631578947368,117.58646616541354,25.0,5.148028099845406,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.20592112399381624,True
50,63.0,491.0,114.23809523809524,14.0,4.459069958647681,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3185049970462629,True
51,110.0,522.8090909090909,123.9,20.0,5.479093013801563,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2739546506900782,True
52,80.0,429.925,113.525,16.0,4.99733279389524,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3123332996184525,True
53,45.0,407.84444444444443,118.0,10.0,4.073299592698706,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4073299592698706,True
54,87.0,292.3448275862069,115.74712643678161,16.0,5.350679315560857,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.33441745722255356,True
55,46.0,431.2826086956522,116.93478260869566,10.0,4.572064290743,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4572064290743,True
57,57.0,549.7894736842105,116.66666666666667,12.0,4.334567131946797,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3612139276622331,True
59,64.0,394.671875,117.578125,14.0,4.545357998876162,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.32466842849115446,True
60,135.0,291.97777777777776,120.96296296296296,25.0,5.379415577494331,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.21517662309977326,True
61,79.0,446.7974683544304,116.0379746835443,17.0,4.603306078961316,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2707827105271362,True
62,59.0,589.6779661016949,117.69491525423729,13.0,4.539370174922123,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.34918232114785563,True
64,78.0,402.5128205128205,115.25641025641026,15.0,5.079327949143468,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.33862186327623117,True
65,90.0,303.5111111111111,113.1,16.0,5.588489598860086,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3492805999287554,True
66,58.0,579.0,118.24137931034483,13.0,4.441651207563401,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.341665477504877,True
67,109.0,541.5321100917431,114.6697247706422,20.0,5.434488620316278,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2717244310158139,True
68,70.0,471.0857142857143,116.61428571428571,14.0,4.928129532437962,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3520092523169973,True
69,70.0,331.8,129.8,15.0,4.659934109713507,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3106622739809005,True
70,111.0,246.81981981981983,130.76576576576576,18.0,6.166661415049867,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3425923008361037,True
71,83.0,365.0120481927711,129.83132530120483,17.0,4.88852689458209,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.28756040556365237,True
73,81.0,292.9012345679012,122.23456790123457,16.0,4.9944529843858145,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3121533115241134,True
74,52.0,332.1730769230769,127.78846153846153,11.0,4.699757642792313,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.42725069479930117,True
75,102.0,383.1666666666667,119.08823529411765,18.0,5.639744681543252,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.31331914897462515,True
76,84.0,380.57142857142856,122.5952380952381,16.0,5.247166567350538,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.32794791045940863,True
77,125.0,285.832,119.032,24.0,5.193480408333481,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.21639501701389505,True
78,78.0,307.8205128205128,121.62820512820512,14.0,5.572531051103502,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39803793222167877,True
79,98.0,462.1938775510204,114.96938775510205,18.0,5.443824272589574,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3024346818105319,True
80,66.0,351.8484848484849,126.24242424242425,13.0,4.889771670570941,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.37613628235161084,True
81,77.0,398.76623376623377,111.67532467532467,14.0,5.501981066819722,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39299864762998016,True
82,123.0,275.3983739837398,111.9349593495935,21.0,5.818593124104883,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.27707586305261345,True
83,120.0,440.43333333333334,115.55833333333334,20.0,5.974476869493342,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.29872384347466713,True
84,127.0,324.8582677165354,136.25984251968504,24.0,5.291805126751719,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.22049188028132163,True
85,77.0,570.7532467532468,118.85714285714286,16.0,4.807654349823737,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3004783968639836,True
86,95.0,498.6421052631579,115.69473684210526,16.0,5.8923216722127485,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3682701045132968,True
87,118.0,391.96610169491527,126.62711864406779,21.0,5.6149493648940245,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.26737854118542975,True
89,90.0,569.3888888888889,117.2,17.0,5.204573360067437,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.306151374121614,True
90,101.0,414.33663366336634,116.4950495049505,19.0,5.262364644129697,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2769665602173525,True
91,82.0,333.5975609756098,118.23170731707317,16.0,5.121910895253393,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.32011943095333706,True
92,93.0,495.35483870967744,125.17204301075269,18.0,5.113784562340543,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.28409914235225237,True
93,84.0,293.17857142857144,122.30952380952381,15.0,5.536043511849679,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.36906956745664526,True
94,94.0,422.93617021276594,112.44680851063829,16.0,5.718581677831861,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.3574113548644913,True
95,78.0,490.7564102564103,117.05128205128206,14.0,5.512175800765688,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.39372684291183485,True
96,132.0,422.1136363636364,113.28787878787878,24.0,5.459746125322883,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.22748942188845345,True
98,138.0,607.2101449275362,116.1086956521739,26.0,5.297068756711509,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.2037334137196734,True
99,81.0,489.679012345679,118.65432098765432,14.0,5.70085729681059,162.24815731456349,109.75378479287404,,dilution,8.0,7,0.4072040926293279,True
