,parameter,value
0,max df,0.02839395131185088
1,max df std,0.0003181948916324533
2,max df stderr,3.181948916324533e-05
3,time of max df,145.60666666666665
4,time of max df std,1.899052395275075
5,time of max df stderr,0.1899052395275075
6,inverse max df,24.414857195294307
7,inverse max df std,0.27370982665673277
8,inverse max df stderr,0.027370982665673275
9,max y,0.30998696887625066
10,max y std,0.0048752154609209425
11,max y stderr,0.00048752154609209427
12,lag time,84.42932480977016
13,lag time std,0.8408125063265809
14,lag time stderr,0.08408125063265809
