,parameter,value
0,max df,0.006572083328566602
1,max df std,3.1118541420403495e-05
2,max df stderr,3.1118541420403494e-06
3,time of max df,634.9066666666666
4,time of max df std,4.12703283243543
5,time of max df stderr,0.412703283243543
6,inverse max df,105.47077534767206
7,inverse max df std,0.4995081684948333
8,inverse max df stderr,0.04995081684948333
9,max y,0.15118927637992013
10,max y std,0.0008399133664156335
11,max y stderr,8.399133664156334e-05
12,lag time,440.3751892603387
13,lag time std,1.377528319275588
14,lag time stderr,0.1377528319275588
