,parameter,value
0,max df,0.004320545179988266
1,max df std,1.978958491705637e-05
2,max df stderr,1.978958491705637e-06
3,time of max df,948.0866666666665
4,time of max df std,6.590417285726298
5,time of max df stderr,0.6590417285726298
6,inverse max df,160.43385464406737
7,inverse max df std,0.7345789058501454
8,inverse max df stderr,0.07345789058501453
9,max y,0.17025522541757052
10,max y std,0.0005101798008480931
11,max y stderr,5.1017980084809306e-05
12,lag time,665.7095878813334
13,lag time std,1.2836873246676803
14,lag time stderr,0.12836873246676803
