,parameter,value
0,max df,0.010452426456329555
1,max df std,6.378646059364988e-05
2,max df stderr,6.378646059364988e-06
3,time of max df,277.06666666666666
4,time of max df std,8.544588931013596
5,time of max df stderr,0.8544588931013596
6,inverse max df,66.31694611642841
7,inverse max df std,0.4048216049509774
8,inverse max df stderr,0.040482160495097744
9,max y,0.15649284607439384
10,max y std,0.0009522470127425209
11,max y stderr,9.52247012742521e-05
12,lag time,204.73527386421375
13,lag time std,1.0507662017660673
14,lag time stderr,0.10507662017660672
