clock_time,elapsed_time_min,run_number,absorbance,carbon,temperature,operator,date
11h36m,66,2,0.1,glucose,37,O2,20180618
11h36m,66,2,0.1,glucose,37,O2,20180618
11h36m,66,2,0.09,glucose,37,O2,20180618
12h05m,95,2,0.11,glucose,37,O2,20180618
12h05m,95,2,0.11,glucose,37,O2,20180618
12h06m,96,2,0.11,glucose,37,O2,20180618
12h34m,124,2,0.17,glucose,37,O2,20180618
12h35m,125,2,0.15,glucose,37,O2,20180618
12h35m,125,2,0.16,glucose,37,O2,20180618
13h05m,155,2,0.2,glucose,37,O2,20180618
13h06m,156,2,0.21,glucose,37,O2,20180618
13h06m,156,2,0.2,glucose,37,O2,20180618
13h33m,183,2,0.25,glucose,37,O2,20180618
13h33m,183,2,0.24,glucose,37,O2,20180618
13h34m,184,2,0.26,glucose,37,O2,20180618
14h04m,214,2,0.33,glucose,37,O2,20180618
14h05m,215,2,0.3,glucose,37,O2,20180618
14h05m,215,2,0.31,glucose,37,O2,20180618
14h42m,252,2,0.38,glucose,37,O2,20180618
14h42m,252,2,0.37,glucose,37,O2,20180618
14h43m,253,2,0.44,glucose,37,O2,20180618
15h05m,275,2,0.45,glucose,37,O2,20180618
15h06m,276,2,0.46,glucose,37,O2,20180618
15h07m,277,2,0.55,glucose,37,O2,20180618
15h33m,303,2,0.52,glucose,37,O2,20180618
15h33m,303,2,0.55,glucose,37,O2,20180618
15h34m,304,2,0.52,glucose,37,O2,20180618
16h03m,333,2,0.58,glucose,37,O2,20180618
16h03m,333,2,0.61,glucose,37,O2,20180618
16h04m,334,2,0.65,glucose,37,O2,20180618
16h34m,364,2,0.75,glucose,37,O2,20180618
16h35m,364,2,0.74,glucose,37,O2,20180618
16h35m,365,2,0.67,glucose,37,O2,20180618
17h05m,395,2,0.75,glucose,37,O2,20180618
17h05m,395,2,0.74,glucose,37,O2,20180618
17h06m,396,2,0.7,glucose,37,O2,20180618
17h35m,425,2,0.76,glucose,37,O2,20180618
17h35m,425,2,0.91,glucose,37,O2,20180618
17h36m,426,2,0.75,glucose,37,O2,20180618
