,parameter,value
0,max df,0.010718660393278321
1,max df std,8.776827273666792e-05
2,max df stderr,8.776827273666792e-06
3,time of max df,269.57666666666665
4,time of max df std,9.215307916722054
5,time of max df stderr,0.9215307916722054
6,inverse max df,64.67165200184655
7,inverse max df std,0.5275042223814278
8,inverse max df stderr,0.05275042223814278
9,max y,0.2038570957959688
10,max y std,0.0013485246684318381
11,max y stderr,0.00013485246684318382
12,lag time,223.84502481140487
13,lag time std,0.40026507370040953
14,lag time stderr,0.04002650737004095
