,parameter,value
0,max df,0.027573447075067054
1,max df std,0.0004206013412755245
2,max df stderr,4.206013412755245e-05
3,time of max df,144.55666666666667
4,time of max df std,2.945827557750114
5,time of max df stderr,0.2945827557750114
6,inverse max df,25.144049919609746
7,inverse max df std,0.38275133462697164
8,inverse max df stderr,0.03827513346269716
9,max y,0.345021896183
10,max y std,0.007759399116950571
11,max y stderr,0.0007759399116950571
12,lag time,79.19487021154879
13,lag time std,1.5621831003143434
14,lag time stderr,0.15621831003143433
