row,column,well_pos,strain,repressor_num,IPTG_µM,OD_600nm,YFP_intensity,mCherry_intensity,YFP_norm,mCherry_norm,foldchange,date,run
D,7,D7,rep,60,75.0,0.166,1842.0,232.0,11096.385542168675,1397.590361445783,0.7481694116140951,20190521,2
D,8,D8,rep,60,100.0,0.18600000000000003,2021.0,292.0,10865.591397849461,1569.8924731182794,0.667098519703522,20190521,2
D,9,D9,rep,60,250.0,0.184,2627.0,272.0,14277.173913043478,1478.2608695652175,0.9723017296414223,20190521,2
D,11,D11,rep,60,1000.0,0.28300000000000003,3301.0,306.0,11664.310954063603,1081.2720848056535,0.8494290468065203,20190521,2
D,12,D12,rep,60,5000.0,0.20199999999999999,2787.0,276.0,13797.029702970298,1366.3366336633665,1.009261827994156,20190521,2
E,1,E1,rep,124,0.0,0.174,516.0,252.0,2965.5172413793107,1448.2758620689656,0.020309683215072625,20190521,2
E,2,E2,rep,124,0.1,0.168,514.0,258.0,3059.523809523809,1535.7142857142856,0.0395130286202477,20190521,2
E,3,E3,rep,124,5.0,0.155,448.0,221.0,2890.3225806451615,1425.8064516129032,0.03740799933519053,20190521,2
E,4,E4,rep,124,10.0,0.152,548.0,261.0,3605.263157894737,1717.1052631578948,0.07379480219172578,20190521,2
E,5,E5,rep,124,25.0,0.147,534.0,208.0,3632.65306122449,1414.9659863945578,0.09242396500271649,20190521,2
E,6,E6,rep,124,50.0,0.151,830.0,261.0,5496.688741721854,1728.476821192053,0.23334876204264385,20190521,2
E,7,E7,rep,124,75.0,0.138,1374.0,217.0,9956.521739130434,1572.463768115942,0.6488761157759284,20190521,2
E,8,E8,rep,124,100.0,0.155,1187.0,222.0,7658.064516129032,1432.258064516129,0.4100099922834759,20190521,2
E,9,E9,rep,124,250.0,0.161,2129.0,243.0,13223.602484472049,1509.3167701863354,0.8868680374568785,20190521,2
E,11,E11,rep,124,1000.0,0.233,2639.0,262.0,11326.180257510729,1124.4635193133047,0.8156057502882379,20190521,2
E,12,E12,rep,124,5000.0,0.175,2377.0,251.0,13582.857142857143,1434.2857142857144,0.9900554461418908,20190521,2
F,1,F1,rep,260,0.0,0.201,607.0,284.0,3019.9004975124376,1412.9353233830846,0.025201400145899566,20190521,2
F,2,F2,rep,260,0.1,0.21,679.0,296.0,3233.3333333333335,1409.5238095238096,0.05510465612985902,20190521,2
F,3,F3,rep,260,5.0,0.192,635.0,251.0,3307.2916666666665,1307.2916666666667,0.07392975913635143,20190521,2
F,4,F4,rep,260,10.0,0.188,588.0,267.0,3127.659574468085,1420.212765957447,0.033652380662074016,20190521,2
F,5,F5,rep,260,25.0,0.16699999999999998,463.0,222.0,2772.4550898203597,1329.3413173652696,0.015099703603737942,20190521,2
F,6,F6,rep,260,50.0,0.187,969.0,280.0,5181.818181818182,1497.326203208556,0.20825031279157788,20190521,2
F,7,F7,rep,260,75.0,0.195,1697.0,308.0,8702.564102564102,1579.4871794871794,0.5396441301262077,20190521,2
F,8,F8,rep,260,100.0,0.19,900.0,307.0,4736.8421052631575,1615.7894736842104,0.17586923662654372,20190521,2
F,9,F9,rep,260,250.0,0.203,2198.0,314.0,10827.58620689655,1546.7980295566501,0.6925760212002292,20190521,2
F,11,F11,rep,260,1000.0,0.315,3688.0,386.0,11707.936507936507,1225.3968253968253,0.8537929216615996,20190521,2
F,12,F12,rep,260,5000.0,0.212,2737.0,274.0,12910.377358490567,1292.4528301886792,0.9297493849002008,20190521,2
G,1,G1,rep,1220,0.0,0.155,443.0,247.0,2858.064516129032,1593.5483870967741,0.010644423119509819,20190521,2
G,2,G2,rep,1220,0.1,0.168,465.0,254.0,2767.8571428571427,1511.9047619047617,0.013348996155489068,20190521,2
G,3,G3,rep,1220,5.0,0.152,424.0,239.0,2789.4736842105262,1572.3684210526317,0.028574780530072834,20190521,2
G,4,G4,rep,1220,10.0,0.14800000000000002,389.0,227.0,2628.378378378378,1533.7837837837835,-0.008312036965332116,20190521,2
G,5,G5,rep,1220,25.0,0.134,384.0,232.0,2865.6716417910447,1731.3432835820895,0.02347905495180845,20190521,2
G,6,G6,rep,1220,50.0,0.141,457.0,239.0,3241.13475177305,1695.035460992908,0.053557715947104324,20190521,2
G,7,G7,rep,1220,75.0,0.135,657.0,230.0,4866.666666666666,1703.7037037037037,0.20549991228876208,20190521,2
G,8,G8,rep,1220,100.0,0.147,454.0,246.0,3088.43537414966,1673.4693877551022,0.043746740161618204,20190521,2
G,9,G9,rep,1220,250.0,0.124,750.0,200.0,6048.387096774193,1612.9032258064517,0.3050326476897385,20190521,2
G,11,G11,rep,1220,1000.0,0.22399999999999998,1902.0,273.0,8491.07142857143,1218.7500000000002,0.5320091186886599,20190521,2
G,12,G12,rep,1220,5000.0,0.166,1845.0,239.0,11114.4578313253,1439.7590361445782,0.7686964647854492,20190521,2
H,1,H1,rep,1740,0.0,0.235,754.0,268.0,3208.5106382978724,1140.4255319148938,0.0421666847685641,20190521,2
H,2,H2,rep,1740,0.1,0.22699999999999998,736.0,250.0,3242.290748898679,1101.3215859030838,0.05590818336980884,20190521,2
H,3,H3,rep,1740,5.0,0.205,622.0,232.0,3034.146341463415,1131.7073170731708,0.050005328543507345,20190521,2
H,4,H4,rep,1740,10.0,0.221,725.0,244.0,3280.542986425339,1104.0723981900453,0.046502180329923475,20190521,2
H,5,H5,rep,1740,25.0,0.24100000000000002,798.0,272.0,3311.2033195020745,1128.6307053941907,0.0635284494564462,20190521,2
H,6,H6,rep,1740,50.0,0.27,839.0,353.0,3107.4074074074074,1307.4074074074074,0.04289825967063404,20190521,2
H,7,H7,rep,1740,75.0,0.196,900.0,264.0,4591.836734693878,1346.938775510204,0.18155953479118675,20190521,2
H,8,H8,rep,1740,100.0,0.183,557.0,209.0,3043.7158469945357,1142.0765027322404,0.04016239689430157,20190521,2
H,9,H9,rep,1740,250.0,0.209,967.0,291.0,4626.794258373206,1392.3444976076555,0.189756244330564,20190521,2
H,11,H11,rep,1740,1000.0,0.303,1988.0,302.0,6561.056105610562,996.6996699669967,0.338949212507897,20190521,2
H,12,H12,rep,1740,5000.0,0.22699999999999998,2060.0,253.0,9074.88986784141,1114.5374449339208,0.5857938506521435,20190521,2
