row,column,well_pos,strain,repressor_num,IPTG_µM,OD_600nm,YFP_intensity,mCherry_intensity,YFP_norm,mCherry_norm,foldchange,date,run
A,1,A1,autofluoresence,0,0.0,0.157,349.0,291.0,2222.9299363057326,1853.5031847133757,0.0,20190521,1
A,2,A2,autofluoresence,0,0.1,0.128,356.0,199.0,2781.25,1554.6875,0.0,20190521,1
A,3,A3,autofluoresence,0,5.0,0.133,347.0,227.0,2609.022556390977,1706.766917293233,0.0,20190521,1
A,4,A4,autofluoresence,0,10.0,0.127,387.0,210.0,3047.244094488189,1653.543307086614,0.0,20190521,1
A,5,A5,autofluoresence,0,25.0,0.12,367.0,213.0,3058.3333333333335,1775.0,0.0,20190521,1
A,6,A6,autofluoresence,0,50.0,0.10400000000000001,311.0,189.0,2990.3846153846152,1817.3076923076922,0.0,20190521,1
A,7,A7,autofluoresence,0,75.0,0.106,351.0,176.0,3311.3207547169814,1660.3773584905662,0.0,20190521,1
A,8,A8,autofluoresence,0,100.0,0.115,328.0,175.0,2852.173913043478,1521.7391304347825,0.0,20190521,1
A,9,A9,autofluoresence,0,250.0,0.111,309.0,194.0,2783.7837837837837,1747.7477477477478,0.0,20190521,1
A,10,A10,autofluoresence,0,500.0,0.129,370.0,248.0,2868.217054263566,1922.4806201550387,0.0,20190521,1
A,11,A11,autofluoresence,0,1000.0,0.12300000000000001,368.0,215.0,2991.8699186991867,1747.9674796747966,0.0,20190521,1
A,12,A12,autofluoresence,0,5000.0,0.145,360.0,285.0,2482.7586206896553,1965.5172413793105,0.0,20190521,1
B,1,B1,delta,0,0.0,0.254,4747.0,479.0,18688.976377952757,1885.8267716535433,1.0,20190521,1
B,2,B2,delta,0,0.1,0.209,3888.0,392.0,18602.87081339713,1875.598086124402,1.0,20190521,1
B,3,B3,delta,0,5.0,0.203,3179.0,308.0,15660.098522167487,1517.2413793103447,1.0,20190521,1
