row,column,well_pos,strain,repressor_num,IPTG_µM,OD_600nm,YFP_intensity,mCherry_intensity,YFP_norm,mCherry_norm,foldchange,date,run
A,1,A1,autofluoresence,0,0.0,0.151,366.0,292.0,2423.8410596026492,1933.7748344370862,0.0,20190521,3
A,2,A2,autofluoresence,0,0.1,0.146,368.0,269.0,2520.5479452054797,1842.4657534246576,0.0,20190521,3
A,3,A3,autofluoresence,0,5.0,0.138,345.0,258.0,2500.0,1869.5652173913043,0.0,20190521,3
A,4,A4,autofluoresence,0,10.0,0.135,390.0,241.0,2888.8888888888887,1785.185185185185,0.0,20190521,3
A,5,A5,autofluoresence,0,25.0,0.126,338.0,241.0,2682.5396825396824,1912.6984126984128,0.0,20190521,3
A,6,A6,autofluoresence,0,50.0,0.12300000000000001,332.0,226.0,2699.1869918699185,1837.3983739837397,0.0,20190521,3
A,7,A7,autofluoresence,0,75.0,0.11199999999999999,285.0,195.0,2544.6428571428573,1741.0714285714287,0.0,20190521,3
A,8,A8,autofluoresence,0,100.0,0.124,317.0,235.0,2556.451612903226,1895.1612903225807,0.0,20190521,3
A,9,A9,autofluoresence,0,250.0,0.127,334.0,232.0,2629.9212598425197,1826.7716535433071,0.0,20190521,3
A,10,A10,autofluoresence,0,500.0,0.135,304.0,255.0,2251.8518518518517,1888.8888888888887,0.0,20190521,3
A,11,A11,autofluoresence,0,1000.0,0.136,341.0,248.0,2507.3529411764703,1823.5294117647059,0.0,20190521,3
A,12,A12,autofluoresence,0,5000.0,0.11599999999999999,298.0,223.0,2568.9655172413795,1922.4137931034484,0.0,20190521,3
B,1,B1,delta,0,0.0,0.247,4887.0,469.0,19785.425101214576,1898.7854251012145,1.0,20190521,3
B,2,B2,delta,0,0.1,0.228,4507.0,459.0,19767.543859649122,2013.157894736842,1.0,20190521,3
B,3,B3,delta,0,5.0,0.207,4175.0,369.0,20169.082125603865,1782.608695652174,1.0,20190521,3
B,4,B4,delta,0,10.0,0.201,3722.0,342.0,18517.41293532338,1701.4925373134326,1.0,20190521,3
B,5,B5,delta,0,25.0,0.21100000000000002,4407.0,387.0,20886.255924170615,1834.123222748815,1.0,20190521,3
B,6,B6,delta,0,50.0,0.2,4029.0,373.0,20145.0,1865.0,1.0,20190521,3
B,7,B7,delta,0,75.0,0.196,4148.0,372.0,21163.26530612245,1897.9591836734694,1.0,20190521,3
B,8,B8,delta,0,100.0,0.21100000000000002,4297.0,409.0,20364.928909952603,1938.388625592417,1.0,20190521,3
B,9,B9,delta,0,250.0,0.20199999999999999,4104.0,391.0,20316.83168316832,1935.6435643564357,1.0,20190521,3
B,10,B10,delta,0,500.0,0.207,4307.0,406.0,20806.763285024157,1961.352657004831,1.0,20190521,3
B,11,B11,delta,0,1000.0,0.221,4724.0,428.0,21375.56561085973,1936.6515837104073,1.0,20190521,3
B,12,B12,delta,0,5000.0,0.20600000000000002,4413.0,427.0,21422.330097087375,2072.8155339805826,1.0,20190521,3
C,1,C1,rep,22,0.0,0.168,920.0,336.0,5476.190476190476,1999.9999999999998,0.17581053717633205,20190521,3
C,2,C2,rep,22,0.1,0.15,858.0,284.0,5720.0,1893.3333333333335,0.18550778759767156,20190521,3
C,3,C3,rep,22,5.0,0.146,1089.0,285.0,7458.904109589042,1952.054794520548,0.2806543132426334,20190521,3
C,4,C4,rep,22,10.0,0.139,1778.0,275.0,12791.36690647482,1978.4172661870502,0.6336156880946856,20190521,3
C,5,C5,rep,22,25.0,0.131,1825.0,250.0,13931.297709923663,1908.3969465648854,0.6179374517857331,20190521,3
C,6,C6,rep,22,50.0,0.131,2421.0,252.0,18480.91603053435,1923.6641221374045,0.9046141347101362,20190521,3
C,7,C7,rep,22,75.0,0.126,2252.0,234.0,17873.015873015873,1857.142857142857,0.8232818006744157,20190521,3
C,8,C8,rep,22,100.0,0.139,2571.0,265.0,18496.40287769784,1906.4748201438847,0.8950765974492187,20190521,3
C,9,C9,rep,22,250.0,0.135,2444.0,255.0,18103.7037037037,1888.8888888888887,0.8748719857513436,20190521,3
C,10,C10,rep,22,500.0,0.138,2534.0,254.0,18362.31884057971,1840.5797101449273,0.8682588999010636,20190521,3
C,11,C11,rep,22,1000.0,0.141,2618.0,283.0,18567.375886524824,2007.0921985815605,0.8511682174938064,20190521,3
C,12,C12,rep,22,5000.0,0.131,2454.0,272.0,18732.824427480915,2076.335877862595,0.85734611675194,20190521,3
D,1,D1,rep,60,0.0,0.254,872.0,503.0,3433.070866141732,1980.3149606299212,0.058130053347677214,20190521,3
D,2,D2,rep,60,0.1,0.23399999999999999,836.0,501.0,3572.6495726495727,2141.025641025641,0.06100202218770178,20190521,3
D,3,D3,rep,60,5.0,0.21899999999999997,928.0,473.0,4237.44292237443,2159.817351598174,0.09833238138933889,20190521,3
D,4,D4,rep,60,10.0,0.2,1177.0,398.0,5885.0,1990.0,0.19170787351443128,20190521,3
D,5,D5,rep,60,25.0,0.201,1044.0,357.0,5194.0298507462685,1776.1194029850744,0.13796579417464996,20190521,3
D,6,D6,rep,60,50.0,0.19399999999999998,2630.0,372.0,13556.701030927836,1917.5257731958766,0.6223564378454652,20190521,3
D,7,D7,rep,60,75.0,0.19,3024.0,378.0,15915.78947368421,1989.4736842105262,0.7181598237561432,20190521,3
D,8,D8,rep,60,100.0,0.19899999999999998,2035.0,375.0,10226.130653266333,1884.422110552764,0.43067573450728824,20190521,3
D,9,D9,rep,60,250.0,0.20600000000000002,3408.0,394.0,16543.68932038835,1912.6213592233007,0.7866703526804836,20190521,3
D,10,D10,rep,60,500.0,0.183,2935.0,338.0,16038.25136612022,1846.9945355191257,0.7430054066235618,20190521,3
D,11,D11,rep,60,1000.0,0.22899999999999998,4369.0,495.0,19078.60262008734,2161.572052401747,0.8782628205975724,20190521,3
D,12,D12,rep,60,5000.0,0.235,4278.0,511.0,18204.25531914894,2174.468085106383,0.8293103194228516,20190521,3
E,1,E1,rep,124,0.0,0.201,635.0,378.0,3159.203980099502,1880.597014925373,0.042355750416226336,20190521,3
E,2,E2,rep,124,0.1,0.196,636.0,399.0,3244.8979591836733,2035.7142857142856,0.041998619212959894,20190521,3
E,3,E3,rep,124,5.0,0.177,674.0,354.0,3807.9096045197743,2000.0,0.07402249846496058,20190521,3
E,4,E4,rep,124,10.0,0.17,771.0,353.0,4535.294117647059,2076.470588235294,0.10534617497253572,20190521,3
E,5,E5,rep,124,25.0,0.166,687.0,307.0,4138.554216867469,1849.3975903614457,0.07998446663313499,20190521,3
E,6,E6,rep,124,50.0,0.16899999999999998,1876.0,337.0,11100.591715976332,1994.0828402366865,0.4815714074311814,20190521,3
E,7,E7,rep,124,75.0,0.14800000000000002,1783.0,284.0,12047.297297297295,1918.9189189189187,0.5103843996082127,20190521,3
E,8,E8,rep,124,100.0,0.16699999999999998,1237.0,305.0,7407.185628742516,1826.3473053892217,0.27238342363178863,20190521,3
E,9,E9,rep,124,250.0,0.174,2766.0,337.0,15896.551724137933,1936.7816091954023,0.7500818484837891,20190521,3
E,10,E10,rep,124,500.0,0.174,2201.0,366.0,12649.425287356322,2103.4482758620693,0.5603677211261585,20190521,3
E,11,E11,rep,124,1000.0,0.196,3771.0,420.0,19239.795918367345,2142.8571428571427,0.8868059349403001,20190521,3
E,12,E12,rep,124,5000.0,0.21100000000000002,4131.0,441.0,19578.1990521327,2090.0473933649287,0.9021855734479336,20190521,3
F,1,F1,rep,260,0.0,0.233,799.0,352.0,3429.184549356223,1510.7296137339056,0.05790620759856849,20190521,3
F,2,F2,rep,260,0.1,0.228,815.0,376.0,3574.561403508772,1649.122807017544,0.061112872266676874,20190521,3
F,3,F3,rep,260,5.0,0.217,805.0,401.0,3709.6774193548385,1847.926267281106,0.06846294622185962,20190521,3
F,4,F4,rep,260,10.0,0.209,756.0,370.0,3617.224880382775,1770.3349282296651,0.04660299266456002,20190521,3
F,5,F5,rep,260,25.0,0.204,778.0,377.0,3813.7254901960787,1848.0392156862747,0.062140377966859006,20190521,3
F,6,F6,rep,260,50.0,0.20199999999999999,1388.0,350.0,6871.287128712872,1732.673267326733,0.23914621433226846,20190521,3
F,7,F7,rep,260,75.0,0.252,2005.0,449.0,7956.349206349207,1781.7460317460318,0.29066094250721236,20190521,3
F,8,F8,rep,260,100.0,0.221,1040.0,324.0,4705.882352941177,1466.0633484162895,0.12069705366635038,20190521,3
F,9,F9,rep,260,250.0,0.239,2687.0,383.0,11242.677824267783,1602.5104602510462,0.4869565321632778,20190521,3
F,10,F10,rep,260,500.0,0.258,1543.0,378.0,5980.62015503876,1465.1162790697674,0.20095856111286248,20190521,3
F,11,F11,rep,260,1000.0,0.316,4386.0,626.0,13879.746835443038,1981.012658227848,0.6027276718445785,20190521,3
F,12,F12,rep,260,5000.0,0.215,3314.0,412.0,15413.953488372093,1916.2790697674418,0.6813101139974688,20190521,3
G,1,G1,rep,1220,0.0,0.17600000000000002,575.0,302.0,3267.045454545454,1715.9090909090908,0.048567250138111126,20190521,3
G,2,G2,rep,1220,0.1,0.168,711.0,306.0,4232.142857142857,1821.4285714285713,0.09924017611113292,20190521,3
G,3,G3,rep,1220,5.0,0.182,631.0,340.0,3467.032967032967,1868.1318681318683,0.054730232173841195,20190521,3
G,4,G4,rep,1220,10.0,0.159,517.0,267.0,3251.5723270440253,1679.245283018868,0.02320650607041038,20190521,3
G,5,G5,rep,1220,25.0,0.152,471.0,278.0,3098.684210526316,1828.9473684210527,0.02286041610750518,20190521,3
G,6,G6,rep,1220,50.0,0.14400000000000002,549.0,235.0,3812.4999999999995,1631.9444444444443,0.06381548441515772,20190521,3
G,7,G7,rep,1220,75.0,0.141,515.0,233.0,3652.4822695035464,1652.4822695035461,0.059501685229210136,20190521,3
G,8,G8,rep,1220,100.0,0.16,468.0,281.0,2925.0,1756.25,0.020695109466649216,20190521,3
G,9,G9,rep,1220,250.0,0.159,972.0,291.0,6113.207547169811,1830.188679245283,0.19694147841295523,20190521,3
G,10,G10,rep,1220,500.0,0.161,470.0,287.0,2919.254658385093,1782.6086956521738,0.035969064521648136,20190521,3
G,11,G11,rep,1220,1000.0,0.17800000000000002,1461.0,360.0,8207.865168539325,2022.4719101123594,0.3021225341880011,20190521,3
G,12,G12,rep,1220,5000.0,0.184,2077.0,371.0,11288.04347826087,2016.304347826087,0.4624680079830458,20190521,3
H,1,H1,rep,1740,0.0,0.26899999999999996,837.0,418.0,3111.5241635687735,1553.9033457249072,0.03960946779498333,20190521,3
H,2,H2,rep,1740,0.1,0.254,786.0,365.0,3094.488188976378,1437.007874015748,0.033277693496190086,20190521,3
H,3,H3,rep,1740,5.0,0.235,756.0,363.0,3217.021276595745,1544.6808510638298,0.04058056165558966,20190521,3
H,4,H4,rep,1740,10.0,0.256,890.0,376.0,3476.5625,1468.75,0.03760263025254671,20190521,3
H,5,H5,rep,1740,25.0,0.32,751.0,420.0,2346.875,1312.5,-0.018439349311105777,20190521,3
H,6,H6,rep,1740,50.0,0.23,897.0,336.0,3900.0,1460.8695652173913,0.06883101450018292,20190521,3
H,7,H7,rep,1740,75.0,0.21100000000000002,821.0,292.0,3890.9952606635065,1383.8862559241704,0.07231213840927513,20190521,3
H,8,H8,rep,1740,100.0,0.23,776.0,337.0,3373.9130434782605,1465.2173913043478,0.04590293807491767,20190521,3
H,9,H9,rep,1740,250.0,0.259,1883.0,497.0,7270.27027027027,1918.918918918919,0.26236063277099986,20190521,3
