strain,area_pix,mean_yfp,mean_mCherry,atc_ngml,date,carbon,temp,operator,run_number,yfp_bg_val,mCherry_bg_val,alpha_mode,alpha_hpd_min,alpha_hpd_max,fold_change
delta,497.0,1085.814889336016,192.69014084507043,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.0551519054528269
delta,378.0,1075.8148148148148,178.02645502645504,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.0436742487150894
delta,487.0,2100.5831622176593,190.32443531827516,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,2.2198594163607672
delta,329.0,1206.2340425531916,191.9696048632219,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.1933638460084188
delta,435.0,903.4367816091954,187.55862068965519,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.8458261336769679
delta,548.0,1010.25,195.22627737226279,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.9684217656538561
delta,348.0,851.4741379310345,191.3735632183908,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.7861856393927662
delta,434.0,1071.8041474654378,199.98617511520737,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.0390709767066855
delta,480.0,971.6416666666667,183.89791666666667,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.924108776157962
delta,383.0,1043.6945169712794,196.98694516971278,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.006807948150991
delta,413.0,982.8765133171913,195.2227602905569,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.9370036513993869
delta,451.0,1193.4767184035477,193.73392461197338,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.1787215363765031
delta,418.0,998.3540669856459,189.188995215311,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.9547681238310475
delta,379.0,729.8627968337731,196.75461741424803,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.6466053567087725
delta,351.0,896.7806267806268,197.49287749287748,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.8381864845769963
delta,413.0,1084.5665859564165,200.42615012106538,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.0537191563602852
delta,513.0,971.9668615984406,194.3216374269006,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.9244820209564723
delta,348.0,894.3534482758621,199.76724137931035,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.8354006731653072
delta,468.0,1172.957264957265,186.73504273504273,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.1551701875737417
delta,598.0,1548.3160535117056,185.48327759197323,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.585990909898052
delta,641.0,1195.6552262090484,187.65366614664586,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,1.18122193422244
delta,348.0,929.3362068965517,188.63505747126436,0.0,20181025,acetate,37,O2,1,156.94744706312053,190.18158705712267,852.552321201514,771.4511860298763,949.5841352686975,0.875552383468679
delta,368.0,783.6222826086956,185.35054347826087,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7069738982126422
delta,426.0,841.1338028169014,183.6431924882629,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7729831550452547
delta,465.0,1066.4387096774194,185.4795698924731,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0315784661892264
delta,463.0,230.27213822894169,1627.6004319654428,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.0718623298435133
delta,596.0,936.9916107382551,190.64429530201343,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.8830046366472846
delta,479.0,1170.705636743215,179.26096033402922,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.1512515741668412
delta,434.0,861.7119815668203,180.5668202764977,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7966019062334211
delta,360.0,805.95,189.95555555555555,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7326006948341357
delta,465.0,1389.5118279569892,179.70537634408603,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.4023879381528341
delta,425.0,912.3858823529412,195.09176470588235,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.8547632366867259
delta,294.0,847.6632653061224,204.24489795918367,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7804773921106211
delta,448.0,1009.875,197.98214285714286,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.966657065642256
delta,433.0,1090.4757505773673,195.09468822170902,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0591671510390888
delta,517.0,1152.2359767891683,195.3926499032882,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.1300528904404503
delta,666.0,934.6666666666666,195.6156156156156,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.8803361655342389
delta,396.0,822.7979797979798,197.87626262626262,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7519380836141464
delta,444.0,949.8536036036036,198.6891891891892,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.8977670805429492
delta,379.0,863.7255936675461,192.53562005277044,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7989130438600544
delta,439.0,1031.7835990888382,188.02961275626424,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.9918028162477411
delta,515.0,974.7281553398059,188.71067961165048,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.92631702441866
delta,409.0,831.4792176039119,198.799511002445,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.7619020361210912
delta,401.0,1070.8653366583542,207.46882793017457,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0366591588266123
delta,372.0,731.1263440860215,185.55913978494624,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.6467213109732979
delta,399.0,1049.5588972431078,189.45112781954887,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0122045412742
delta,416.0,737.1370192307693,201.68028846153845,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.6536201061699939
delta,449.0,735.022271714922,197.57238307349667,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.6511928896505151
delta,581.0,1062.3889845094664,183.86574870912222,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0269303652914386
delta,448.0,925.5401785714286,195.36160714285714,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.8698611738373163
delta,493.0,1266.525354969574,187.49695740365112,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.2612293380502213
delta,418.0,1019.3181818181819,188.94976076555025,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,0.9774955448147208
delta,409.0,1060.3691931540343,180.8875305623472,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0246121353812163
delta,450.0,1057.2222222222222,187.17777777777778,0.0,20181025,acetate,37,O2,1,158.10996748447477,190.85837710656597,852.552321201514,771.4511860298763,949.5841352686975,1.0210001770860657
