parameter,value
max df,0.004319912819246397
max df std,1.6933628038192448e-05
max df stderr,1.6933628038192448e-06
time of max df,947.3166666666664
time of max df std,5.365398400864563
time of max df stderr,0.5365398400864563
inverse max df,160.45643670079747
inverse max df std,0.6281819625585862
inverse max df stderr,0.06281819625585862
max y,0.17033470643420004
max y std,0.00045106126877753365
max y stderr,4.5106126877753365e-05
lag time,665.8637476360901
lag time std,1.1090038160361262
lag time stderr,0.11090038160361262
