# Date : 20170810
# Equipment : MACSQuant (Björkman Lab)
# User : gchure
# growth medium: M9 + 0.5% glucose
# growth temperature: 37 C
# Description :
# A first pass at developing the experimental protocol for a dilution-titration
# experiment.
# All cells (save for the autofluorescence control) contained a YFP molecule
# regulated by an O2+11 simple repression architecture. These cells were grown
# in M9 + 0.5% glucose minimal medium at 37°C for 8 hours prior to dilution
# and measurement. Cells were incubated with the following concentrations
# 0 ng/mL, 2 ng/mL, 4 ng/mL, 6 ng/mL, 8 ng/mL, 10 ng/mL of ATC as well as
# 0, 0.1, 5, 10, 25, 50, 75, 100, 250, 500, 1000, 5000 mM IPTG.
# Comments : Snapshots of the cells with 0 IPTG concentration revealed the
# expected behavior. The growth movie itself didn't work as expected, meaning
# that I am unable to get to protein copy number from this experiment alone.
atc_ngml,carbon,date,iptg_um,mean_YFP_H,operator,run_no,strain,temp,username
0.0,glucose,20170810,0.1,6651.158545741903,O2,r1,auto,37,gchure
0.0,glucose,20170810,0.0,5609.094088411533,O2,r1,auto,37,gchure
0.0,glucose,20170810,1000.0,48091.667199027506,O2,r1,auto,37,gchure
0.0,glucose,20170810,100.0,6396.604625421858,O2,r1,auto,37,gchure
0.0,glucose,20170810,10.0,6505.836205519515,O2,r1,auto,37,gchure
0.0,glucose,20170810,250.0,6787.117700971123,O2,r1,auto,37,gchure
0.0,glucose,20170810,25.0,6605.772444558242,O2,r1,auto,37,gchure
0.0,glucose,20170810,5000.0,5681.563808509194,O2,r1,auto,37,gchure
0.0,glucose,20170810,500.0,6288.867206940786,O2,r1,auto,37,gchure
0.0,glucose,20170810,50.0,6631.744343798253,O2,r1,auto,37,gchure
0.0,glucose,20170810,5.0,6239.912985533927,O2,r1,auto,37,gchure
0.0,glucose,20170810,75.0,6495.060123856352,O2,r1,auto,37,gchure
0.0,glucose,20170810,0.1,19950.07253545891,O2,r1,delta,37,gchure
0.0,glucose,20170810,0.0,22393.41689459945,O2,r1,delta,37,gchure
0.0,glucose,20170810,1000.0,5082.311557110344,O2,r1,delta,37,gchure
0.0,glucose,20170810,100.0,19955.45262130692,O2,r1,delta,37,gchure
0.0,glucose,20170810,10.0,20698.097330775257,O2,r1,delta,37,gchure
0.0,glucose,20170810,250.0,21433.104779689133,O2,r1,delta,37,gchure
0.0,glucose,20170810,25.0,21464.826453042962,O2,r1,delta,37,gchure
0.0,glucose,20170810,5000.0,22156.97709089476,O2,r1,delta,37,gchure
0.0,glucose,20170810,500.0,21322.493771754,O2,r1,delta,37,gchure
0.0,glucose,20170810,50.0,18947.429543222883,O2,r1,delta,37,gchure
0.0,glucose,20170810,5.0,21026.99819419533,O2,r1,delta,37,gchure
0.0,glucose,20170810,75.0,21911.651937389957,O2,r1,delta,37,gchure
0.0,glucose,20170810,0.1,13915.418379431221,O2,r1,dilution,37,gchure
0.0,glucose,20170810,0.0,16326.116286612998,O2,r1,dilution,37,gchure
0.0,glucose,20170810,1000.0,95619.68966501264,O2,r1,dilution,37,gchure
0.0,glucose,20170810,100.0,15880.570966196328,O2,r1,dilution,37,gchure
0.0,glucose,20170810,10.0,16792.940275866156,O2,r1,dilution,37,gchure
0.0,glucose,20170810,250.0,17943.829897281263,O2,r1,dilution,37,gchure
0.0,glucose,20170810,25.0,16989.789307466344,O2,r1,dilution,37,gchure
0.0,glucose,20170810,5000.0,18200.691904367926,O2,r1,dilution,37,gchure
0.0,glucose,20170810,500.0,17512.62525864168,O2,r1,dilution,37,gchure
0.0,glucose,20170810,50.0,16865.85981443061,O2,r1,dilution,37,gchure
0.0,glucose,20170810,5.0,15362.038610698646,O2,r1,dilution,37,gchure
0.0,glucose,20170810,75.0,17582.878289804183,O2,r1,dilution,37,gchure
10.0,glucose,20170810,0.1,6652.70135574162,O2,r1,dilution,37,gchure
10.0,glucose,20170810,0.0,6296.532043098515,O2,r1,dilution,37,gchure
10.0,glucose,20170810,1000.0,10256.417968757143,O2,r1,dilution,37,gchure
10.0,glucose,20170810,100.0,16370.061796387887,O2,r1,dilution,37,gchure
10.0,glucose,20170810,10.0,7097.777399442384,O2,r1,dilution,37,gchure
10.0,glucose,20170810,250.0,19948.851797189734,O2,r1,dilution,37,gchure
10.0,glucose,20170810,25.0,9211.41472933724,O2,r1,dilution,37,gchure
10.0,glucose,20170810,5000.0,23518.229268963543,O2,r1,dilution,37,gchure
10.0,glucose,20170810,500.0,22673.16847239174,O2,r1,dilution,37,gchure
10.0,glucose,20170810,50.0,12479.82120928741,O2,r1,dilution,37,gchure
10.0,glucose,20170810,5.0,6829.127068344582,O2,r1,dilution,37,gchure
10.0,glucose,20170810,75.0,15308.490894670354,O2,r1,dilution,37,gchure
2.0,glucose,20170810,0.1,6586.634008493085,O2,r1,dilution,37,gchure
2.0,glucose,20170810,1000.0,31927.14674652208,O2,r1,dilution,37,gchure
2.0,glucose,20170810,100.0,16100.47050103814,O2,r1,dilution,37,gchure
2.0,glucose,20170810,10.0,9225.473639957727,O2,r1,dilution,37,gchure
2.0,glucose,20170810,250.0,17529.541047970564,O2,r1,dilution,37,gchure
2.0,glucose,20170810,25.0,11976.590577551518,O2,r1,dilution,37,gchure
2.0,glucose,20170810,5000.0,20266.359406325737,O2,r1,dilution,37,gchure
2.0,glucose,20170810,500.0,17157.6635590504,O2,r1,dilution,37,gchure
2.0,glucose,20170810,50.0,13929.763279110286,O2,r1,dilution,37,gchure
2.0,glucose,20170810,5.0,6710.258768601424,O2,r1,dilution,37,gchure
2.0,glucose,20170810,75.0,17901.714529765053,O2,r1,dilution,37,gchure
4.0,glucose,20170810,0.1,6790.0489041054225,O2,r1,dilution,37,gchure
4.0,glucose,20170810,0.0,9275.062530775951,O2,r1,dilution,37,gchure
4.0,glucose,20170810,1000.0,83452.6691053694,O2,r1,dilution,37,gchure
4.0,glucose,20170810,100.0,12220.85244045137,O2,r1,dilution,37,gchure
4.0,glucose,20170810,10.0,8262.392701234174,O2,r1,dilution,37,gchure
4.0,glucose,20170810,250.0,18239.95999953132,O2,r1,dilution,37,gchure
4.0,glucose,20170810,25.0,10969.76103727292,O2,r1,dilution,37,gchure
4.0,glucose,20170810,5000.0,19019.976973520876,O2,r1,dilution,37,gchure
4.0,glucose,20170810,500.0,17367.28639302295,O2,r1,dilution,37,gchure
4.0,glucose,20170810,50.0,13069.854348376708,O2,r1,dilution,37,gchure
4.0,glucose,20170810,5.0,7388.285876628093,O2,r1,dilution,37,gchure
4.0,glucose,20170810,75.0,15301.000698652531,O2,r1,dilution,37,gchure
6.0,glucose,20170810,0.1,6555.540134977248,O2,r1,dilution,37,gchure
6.0,glucose,20170810,0.0,6426.696530961084,O2,r1,dilution,37,gchure
6.0,glucose,20170810,1000.0,3614.827194940476,O2,r1,dilution,37,gchure
6.0,glucose,20170810,100.0,14208.797534610081,O2,r1,dilution,37,gchure
6.0,glucose,20170810,10.0,6963.01724832253,O2,r1,dilution,37,gchure
6.0,glucose,20170810,250.0,17308.522470428285,O2,r1,dilution,37,gchure
6.0,glucose,20170810,25.0,9322.611792786462,O2,r1,dilution,37,gchure
6.0,glucose,20170810,5000.0,19585.791934953017,O2,r1,dilution,37,gchure
6.0,glucose,20170810,500.0,18160.482288663698,O2,r1,dilution,37,gchure
6.0,glucose,20170810,50.0,12249.65467453219,O2,r1,dilution,37,gchure
6.0,glucose,20170810,5.0,6783.177324331477,O2,r1,dilution,37,gchure
6.0,glucose,20170810,75.0,14926.67647010165,O2,r1,dilution,37,gchure
8.0,glucose,20170810,0.1,6551.7570773157895,O2,r1,dilution,37,gchure
8.0,glucose,20170810,0.0,6393.904810687379,O2,r1,dilution,37,gchure
8.0,glucose,20170810,1000.0,11857.6367187625,O2,r1,dilution,37,gchure
8.0,glucose,20170810,100.0,13412.161145709091,O2,r1,dilution,37,gchure
8.0,glucose,20170810,10.0,6723.519439104542,O2,r1,dilution,37,gchure
8.0,glucose,20170810,250.0,17814.071194270142,O2,r1,dilution,37,gchure
8.0,glucose,20170810,25.0,8624.645434008386,O2,r1,dilution,37,gchure
8.0,glucose,20170810,5000.0,22943.066160952734,O2,r1,dilution,37,gchure
8.0,glucose,20170810,500.0,22217.20027937283,O2,r1,dilution,37,gchure
8.0,glucose,20170810,50.0,12124.26890177543,O2,r1,dilution,37,gchure
8.0,glucose,20170810,5.0,6768.052619469398,O2,r1,dilution,37,gchure
8.0,glucose,20170810,75.0,15175.34203436447,O2,r1,dilution,37,gchure
