parameter,value
max df,0.012863363989804135
max df std,0.00024968404834198316
max df stderr,2.4968404834198315e-05
time of max df,317.7366666666667
time of max df std,5.555636777184053
time of max df stderr,0.5555636777184053
inverse max df,53.90571458254862
inverse max df std,1.0482628768249176
inverse max df stderr,0.10482628768249176
max y,0.11090800500195247
max y std,0.0021166728276332545
max y stderr,0.00021166728276332544
lag time,157.93780954961528
lag time std,3.5816482384224697
lag time stderr,0.35816482384224696
doubling time,53.8853740832766
