parameter,value
max df,0.01241591763959712
max df std,0.00019379504490938992
max df stderr,1.9379504490938992e-05
time of max df,250.1166666666667
time of max df std,4.98673239707126
time of max df stderr,0.498673239707126
inverse max df,55.84094630405758
inverse max df std,0.8743637425854615
inverse max df stderr,0.08743637425854614
max y,0.17541172759058565
max y std,0.0041742698899660795
max y stderr,0.00041742698899660795
lag time,69.30287101860695
lag time std,3.240045088714088
lag time stderr,0.3240045088714088
doubling time,55.827301749275854
