parameter,value
max df,0.010262243275397214
max df std,0.000656762248068571
max df stderr,6.56762248068571e-05
time of max df,375.2066666666666
time of max df std,35.91320648452321
time of max df stderr,3.591320648452321
inverse max df,67.82262795025122
inverse max df std,4.376361250192673
inverse max df stderr,0.4376361250192673
max y,0.14562113009960453
max y std,0.0093013211411237
max y stderr,0.0009301321141123701
lag time,74.82947523623514
lag time std,18.50031409899233
lag time stderr,1.850031409899233
doubling time,67.54343684501244
