,parameter,value
0,max df,0.007482192681066047
1,max df std,7.740000403496385e-05
2,max df stderr,7.740000403496384e-06
3,time of max df,623.7766666666665
4,time of max df std,49.73306646487827
5,time of max df stderr,4.973306646487827
6,inverse max df,92.6494759276821
7,inverse max df std,0.9568092081716068
8,inverse max df stderr,0.09568092081716068
9,max y,0.17201008624951342
10,max y std,0.00118887669641165
11,max y stderr,0.000118887669641165
12,lag time,474.8523498855468
13,lag time std,2.935102100559914
14,lag time stderr,0.29351021005599137
